branch,local_step,parent_step,global_task_id,occurrence,teacher_demo,query_seed
N-L,15,1800,19,201,6,8160329218714284847
N-L,15,1800,21,201,41,4131075575980654246
N-L,15,1800,36,201,3,4163896487909171117
N-L,16,1800,20,201,31,5613899999624125607
N-L,16,1800,37,201,39,7648500867529043831
N-L,16,1800,64,201,39,8269876140377189874
N-L,16,1800,22,201,5,6149210210041094728
N-L,17,1800,12,201,43,6101604222897152761
N-L,17,1800,5,201,13,290478548473878095
N-L,17,1800,14,201,38,5734935591417971226
N-L,17,1800,62,201,25,952518171772085603
N-L,18,1800,7,201,9,768727246265218047
N-L,18,1800,29,201,27,6441708703491008681
N-L,18,1800,42,201,34,4920256605855093550
N-L,18,1800,34,201,27,6163993346389857177
N-L,19,1800,32,202,0,2009065856676033949
N-L,19,1800,5,202,2,4457653754322174408
N-L,19,1800,95,202,12,30554182175994386
N-L,19,1800,96,202,11,2490984523762322124
N-L,20,1800,101,202,21,3508365251567422452
N-L,20,1800,36,202,8,5789763509830616758
N-L,20,1800,7,202,27,1473300061574102692
N-L,20,1800,14,202,1,4523689288012031262
N-L,21,1800,17,202,44,3187716969945533273
N-L,21,1800,37,202,43,7432595392140338390
N-L,21,1800,43,202,42,4896402764078281485
N-L,21,1800,97,202,21,2380432542989753863
N-L,22,1800,29,202,40,6926884163086980636
N-L,22,1800,73,202,5,5000965999989538744
N-L,22,1800,35,202,19,4586662626881534836
N-L,22,1800,38,202,6,5968528461451517571
N-L,23,1800,51,202,6,7338919134524444747
N-L,23,1800,12,202,11,7840257245990052094
N-L,23,1800,19,202,39,3322913056358757299
N-L,23,1800,13,202,21,8167383968016812711
N-L,24,1800,22,202,6,4207423507260688220
N-L,24,1800,55,202,12,4584277730595377375
N-L,24,1800,25,202,42,430300324694443059
N-L,24,1800,28,202,14,5844993776346760313
N-L,25,1800,1,202,7,6726954148282279619
N-L,25,1800,0,202,19,894269414178649728
N-L,25,1800,62,202,29,1568486735397399570
N-L,25,1800,34,202,11,4900469376537073786
N-L,26,1800,42,202,38,7263000427708727355
N-L,26,1800,15,202,8,3013820933114473177
N-L,26,1800,2,202,5,7747861342154122760
N-L,26,1800,56,202,6,2019906944853362339
N-L,27,1800,21,202,2,6962966724703692596
N-L,27,1800,20,202,22,4924935203747557647
N-L,27,1800,4,202,16,1801959147514521705
N-L,27,1800,64,202,6,8310403570272025063
N-L,28,1800,32,203,37,3915079678644359132
N-L,28,1800,34,203,0,3675708944392094135
N-L,28,1800,20,203,33,7915372585252881588
N-L,28,1800,13,203,30,6155342672403577770
N-L,29,1800,35,203,39,3952450943152147523
N-L,29,1800,12,203,0,4138600392542253443
N-L,29,1800,2,203,40,5008988128360711098
N-L,29,1800,19,203,43,8727234179236865010
N-L,30,1800,7,203,2,9220839151288702788
N-L,30,1800,5,203,25,7857813163168178836
N-L,30,1800,4,203,0,4401208727873805501
N-L,30,1800,17,203,41,99702595863399302
N-L,31,1800,36,203,36,7432078387109238843
N-L,31,1800,25,203,20,7931921485516764935
N-L,31,1800,1,203,23,7059848035783569396
N-L,31,1800,22,203,35,5983090845058814020
N-L,32,1800,56,203,11,8092486692665507886
N-L,32,1800,37,203,33,8223908908369625712
N-L,32,1800,43,203,29,4653537155926351204
N-L,32,1800,21,203,25,8556692135719955485
N-L,33,1800,55,203,17,44511405029387563
N-L,33,1800,62,203,2,1235114984718705746
N-L,33,1800,64,203,38,8051069420859454290
N-L,33,1800,29,203,30,3258523299785674665
N-L,34,1800,73,203,32,3346473283205920075
N-L,34,1800,42,203,23,5218710021075458546
N-L,34,1800,0,203,22,6418466867178930250
N-L,34,1800,38,203,37,5477318470406907120
N-L,35,1800,96,203,16,4928689300139173778
N-L,35,1800,97,203,6,8263252285636033043
N-L,35,1800,14,203,22,9014901625008422909
N-L,35,1800,15,203,34,7720324499597176897
N-L,36,1800,51,203,42,922509784606902608
N-L,36,1800,28,203,7,3758075386030750190
N-L,36,1800,101,203,41,4859684869023826081
N-L,36,1800,95,203,45,3661948873577020572
