branch,global_task_id,suite,task_id,init_state_id,success,steps,capture_level,has_images,replans,local_payload_bytes,local_payload
N-L,26,libero_goal,6,2,True,117,compact,False,24,48887,<STUDY>/rollouts/e3/N-L/local_036/trajectories/libero_goal_task_06_state_002.pt
N-L,26,libero_goal,6,3,True,105,compact,False,21,42949,<STUDY>/rollouts/e3/N-L/local_036/trajectories/libero_goal_task_06_state_003.pt
N-L,11,libero_object,1,0,True,262,compact,False,53,106923,<STUDY>/rollouts/e3/N-L/local_036/trajectories/libero_object_task_01_state_000.pt
N-L,11,libero_object,1,1,True,184,compact,False,37,74949,<STUDY>/rollouts/e3/N-L/local_036/trajectories/libero_object_task_01_state_001.pt
N-L,11,libero_object,1,2,True,154,compact,False,31,62985,<STUDY>/rollouts/e3/N-L/local_036/trajectories/libero_object_task_01_state_002.pt
N-L,11,libero_object,1,3,True,158,compact,False,32,65011,<STUDY>/rollouts/e3/N-L/local_036/trajectories/libero_object_task_01_state_003.pt
N-L,3,libero_spatial,3,0,True,155,full,True,31,48916043,<STUDY>/rollouts/e3/N-L/local_036/trajectories/libero_spatial_task_03_state_000.pt
N-L,3,libero_spatial,3,1,False,220,compact,False,44,89033,<STUDY>/rollouts/e3/N-L/local_036/trajectories/libero_spatial_task_03_state_001.pt
N-L,3,libero_spatial,3,2,False,220,compact,False,44,89033,<STUDY>/rollouts/e3/N-L/local_036/trajectories/libero_spatial_task_03_state_002.pt
N-L,3,libero_spatial,3,3,True,118,compact,False,24,49049,<STUDY>/rollouts/e3/N-L/local_036/trajectories/libero_spatial_task_03_state_003.pt
