asset,family,value_kind,index,value
O1200,v_b,head_singular,3,0.4809109756451043
O1200,v_b,head_singular,4,0.425788883645619
O1200,v_b,head_singular,5,0.38799076845362546
O1200,v_b,head_singular,6,0.3711586808296181
O1200,v_b,head_singular,7,0.33162678413318303
O1200,v_b,head_singular,8,0.3161199063479766
O1200,v_b,head_singular,9,0.2866262102838064
O1200,v_b,head_singular,10,0.2727469951974528
O1200,v_b,head_singular,11,0.2586912989080931
O1200,v_b,head_singular,12,0.24295303176543845
O1200,v_b,head_singular,13,0.21158575306607078
O1200,v_b,head_singular,14,0.206370330933348
O1200,v_b,head_singular,15,0.18939933605726714
O1200,v_b,head_singular,16,0.17916182332906128
O1200,v_b,head_singular,17,0.15831694898871385
O1200,v_b,head_singular,18,0.14763610817616654
O1200,v_b,head_singular,19,0.14097975746529687
O1200,v_b,head_singular,20,0.13210345964571288
O1200,v_b,head_singular,21,0.12495482890292246
O1200,v_b,head_singular,22,0.11989057648766703
O1200,v_b,head_singular,23,0.11530748110771546
O1200,v_b,head_singular,24,0.11288174186994647
O1200,v_b,head_singular,25,0.10813878317071186
O1200,v_b,head_singular,26,0.10165236560599511
O1200,v_b,head_singular,27,0.09826808572107401
O1200,v_b,head_singular,28,0.09670785060668091
O1200,v_b,head_singular,29,0.09355939530485226
O1200,v_b,head_singular,30,0.09193615872420033
O1200,v_b,head_singular,31,0.09046868149601602
O1200,v_b,head_singular,32,0.08777714350036452
O1200,v_b,head_singular,33,0.08496474822217778
O1200,v_b,head_singular,34,0.08098330630445189
O1200,v_b,head_singular,35,0.08029591345863529
O1200,v_b,head_singular,36,0.07938710159491735
O1200,v_b,head_singular,37,0.07873145387827772
O1200,v_b,head_singular,38,0.07777730454199494
O1200,v_b,head_singular,39,0.07579020344004671
O1200,v_b,head_singular,40,0.07456470464016389
O1200,v_b,head_singular,41,0.07290557805390283
O1200,v_b,head_singular,42,0.07175164411069544
O1200,v_b,head_singular,43,0.0703926340842834
