asset,global_task_id,teacher_demo,family,layer,b_frobenius_norm,b_singular_values,delta_frobenius_norm,delta_singular_values,reconstruction_max_abs,reconstruction_relative_l2
O1200,37,46,v_b,0,2.6691452142141454,"[2.663116963496047,0.1614382142011501,0.05789578041540306,0.03980714097263927,0.026290969036399603,0.014110208545888297,0.010210191448464046,0.007661645634587698,0.0063836191788335115,0.004997166226388813,0.002975113979293234,0.0024472811827121422,0.0020435194529886576,0.0018121124870374152,0.0015547964735328752,0.0012979621650045523]",16.180268537337536,"[16.179887004868466,0.10105769331664453,0.03449557793557799,0.023393939362223393,0.015642596598759752,0.008200085347110588,0.005882068007098703,0.0044439786297573985,0.0036240505091180474,0.0028989116771026423,0.0017301709639780572,0.0013954795391663115,0.0011711776516334605,0.0010553120291356146,0.0008831345596664678,0.0007402147787844459]",0.00046385289169847965,0.0016852536652212716
O1200,37,46,v_b,1,2.517768281783459,"[2.4899764449454387,0.3144264339996695,0.18567330735945065,0.049162111115681695,0.04346829354165121,0.027861622512399088,0.021359810900971832,0.011621921013765477,0.007763781247536847,0.006632000445409966,0.0051576036880703596,0.003707532539362793,0.002803700931546576,0.0018846231963001064,0.0018376254966875902,0.0015756913149136775]",15.493802574147695,"[15.491427876297427,0.23507494603115933,0.12757219273754936,0.02972928855179293,0.025479952168223883,0.01610617492019978,0.012443667545826794,0.006825382946003184,0.004389716117217463,0.003688516919182761,0.0029765408144953568,0.0021193471593914308,0.0015745348725857925,0.0010979917088541522,0.0010120772361057488,0.0009122201976117517]",0.00024297606432810426,0.0016793756857922896
O1200,37,46,v_b,2,2.59941091048994,"[2.5589107992576765,0.3345218042804114,0.28706418373315795,0.09997639741771262,0.051114263247496364,0.028218409208177694,0.02495776744252296,0.014999306526186605,0.013494566480977625,0.00763563736366382,0.007152356822454653,0.005863369271304256,0.003173818022202622,0.0025259349025438345,0.0021837902233530983,0.001630944355546789]",15.7693525925361,"[15.765587573144513,0.2596988865587173,0.21489012742465785,0.059433018417377886,0.030182326403171658,0.016370780750819405,0.014357423041016459,0.008695318784182417,0.007765838334939742,0.004418365642818037,0.004121697870786458,0.003242757734665351,0.0018850229878565464,0.0014390420994930314,0.0012103895629654144,0.000977901363053065]",0.00024221028434112668,0.0016709987174971922
O1200,37,46,v_b,3,2.5762216829703117,"[2.565576291649172,0.20935290142219365,0.08346793246076965,0.04160308416183782,0.0282092055145312,0.02556320190108154,0.019718800518520176,0.01529371096541802,0.008399724156157246,0.0048187615033109385,0.0036869881842820566,0.0035526177298736516,0.0024653053949852265,0.002296613463214267,0.0020356508319102295,0.0016278026941692228]",15.750252480913044,"[15.749548313742359,0.13523795030303576,0.050692365664390525,0.023874103344608367,0.016388735037900864,0.015083211427379563,0.01139054198246643,0.008925972220916928,0.004906502435360769,0.0027639217734782657,0.0021539101467053464,0.002091732890199189,0.0014465536248159249,0.0012735202242119107,0.001164305380174161,0.0009080970207569738]",0.0002438985975459218,0.0016987255499236358
O1200,37,46,v_b,4,2.5331262433717896,"[2.4460535539217862,0.6043871934339966,0.21742247705886023,0.09639054396704158,0.07827549632047348,0.05544684562844884,0.032734934088635405,0.026726894996872454,0.01706050540978548,0.01208712790148123,0.011418440017596516,0.0085347127076099,0.005330924352266752,0.005027729814027063,0.0038567476767779668,0.0026008379608432153]",15.481229253131447,"[15.469207450611309,0.58683118672616,0.14266587029361444,0.0579247568930982,0.04548490549697077,0.032835380775771375,0.01937003298781116,0.015586414983335578,0.009833075945459525,0.007113705320296963,0.006290958078077181,0.004830604210131034,0.003070797595176168,0.0029153006463249007,0.002179920761283669,0.0015195284299107737]",0.00024323011166416109,0.0016770326531539337
O1200,37,46,v_b,5,2.5916001869195355,"[2.5768167286030965,0.2644518060522701,0.06068413767506556,0.03695124859992117,0.023746733101672055,0.017251681335383087,0.01580734689083827,0.012432219784998814,0.007998836004886142,0.006281757871738818,0.004645980700791476,0.003988319422929401,0.002813727780146465,0.0023121296077212644,0.0015873210890911954,0.0012971275812435259]",15.890397328509968,"[15.889236780921337,0.1862156686807471,0.035629025374756644,0.021810600688707726,0.013444332147913745,0.009786782539994385,0.009012227639215619,0.00716495049698804,0.004445303751661871,0.0036238569568736367,0.0026858203593602744,0.00232649956471614,0.001577997069288206,0.0013720886271172581,0.0009075111854549839,0.0007544553100131935]",0.00024387578014284372,0.0016973224864652956
O1200,37,46,v_b,6,2.6888493165645664,"[2.6744345319686365,0.26762712059414456,0.051646232389038316,0.03724748076762155,0.030819747442226004,0.017141352521113984,0.014000246222961707,0.0082065487955575,0.007072732234961403,0.004900437413514213,0.004388606886229674,0.003670677556156373,0.0028579950945615785,0.002168078505761965,0.0016864602718772766,0.001440841929796574]",16.343170817855743,"[16.34194012277776,0.19566998944621594,0.03001504270246125,0.02174482776139995,0.018260666755804407,0.009991912122024615,0.008080071503162633,0.004852860949104586,0.004261043783488073,0.0028498181863372157,0.0025335641895675664,0.0020676509703508586,0.001643665057398092,0.0012315388763361602,0.0009611250683764899,0.0008232995923548612]",0.0004536554915830493,0.001660850799084043
O1200,37,46,v_b,7,2.6257669432740323,"[2.61746797577939,0.19774171734398244,0.04787988686869629,0.033990409784660544,0.01755328372952509,0.016036619536138448,0.013375509122581123,0.009070484130636512,0.008483176200119893,0.004963638895872677,0.004153893316348886,0.0030392569180651753,0.002175597149322009,0.0020997151583601733,0.0018057648716735594,0.0013609850012600787]",15.917702063484244,"[15.917158965500784,0.12573778114802378,0.02809231991020754,0.01957555644210955,0.009943856698910774,0.008809434497902096,0.0076635981797071664,0.005374317052246889,0.004610777189318518,0.0028321544067735262,0.0024888406990567174,0.001719238376103018,0.0012577854382628542,0.001151775282019491,0.0010092079546035375,0.0007876197368899033]",0.0002432324254186824,0.0017228682434532838
O1200,37,46,v_b,8,2.7645945876648845,"[2.7455323222525907,0.3060586738825268,0.08567943489038982,0.04709046257028444,0.03491962428752655,0.017368604029071248,0.010583550322072607,0.007458126944052783,0.006814049255326876,0.005901068035771404,0.0035265057629279323,0.002687171706074045,0.00239991282730092,0.0020319738537908187,0.0017861334196538172,0.0015617254174745427]",16.423073311400923,"[16.421387117327026,0.22670354427747827,0.051204290209929705,0.027314370134714924,0.020473372511580313,0.010232437132503828,0.0062764052057121605,0.004247493432369859,0.0038551399544148072,0.0034427959852517944,0.00200570975671494,0.0015708986235856213,0.0013845287376951705,0.0011683225648250837,0.001043643486419567,0.0009003052192532987]",0.00048389832954853773,0.0016380189326187231
O1200,37,46,v_b,9,2.835614280699531,"[2.8156071423018956,0.33003094697037966,0.04601706960657967,0.03711998238271658,0.01906252081002733,0.010774884400804744,0.009270996393340091,0.006069943548687732,0.003909501146658736,0.0030373804004818644,0.0023700008609370917,0.0022795247452760893,0.0018962579241052493,0.0017602606941710926,0.0015959295799093701,0.0014288592780815868]",16.657548928978738,"[16.655611826606982,0.2511988107764976,0.026605938564722226,0.022430600224235007,0.010986496517298454,0.006491894470797405,0.005408758750837972,0.00344574830954992,0.0022030565482384435,0.0017674475404396439,0.0013691446920443282,0.0012874614305989655,0.0010873330344910261,0.0010069297898006317,0.0008983788467979016,0.0008148625460336832]",0.00047463779628742486,0.0016927746923420927
