asset,global_task_id,teacher_demo,family,layer,b_frobenius_norm,b_singular_values,delta_frobenius_norm,delta_singular_values,reconstruction_max_abs,reconstruction_relative_l2
N1000,5,46,v_b,2,3.8588341472267715,"[3.8363737945627943,0.39617926286332866,0.10535836091176753,0.05209569687864028,0.04100379161430517,0.01122839068543602,0.010013478874781745,0.007577323060093055,0.005343041284221722,0.004748334084551861,0.0038297438127860954,0.003321017902664175,0.0028860231367853987,0.002624764508141885,0.002037637800184794,0.0018696006386967618]",29.045422661366654,"[29.04342712622057,0.3319030862192233,0.06485602383608342,0.029690940327530016,0.023282504104346187,0.006658933044666655,0.00570569097188819,0.00432091776802637,0.003061079271904978,0.00273641875532026,0.0022259108735627536,0.0019550517885434135,0.0017108433571884445,0.001496977520838122,0.001159574685483308,0.001018661994097247]",0.0004854818544117734,0.001744470019207734
N1000,5,46,v_b,3,3.8524911935578867,"[3.840074946772837,0.2921190998578623,0.07320699007100288,0.05035548508550304,0.04280649733304306,0.013220034525035888,0.011364363964563943,0.0076271930465383435,0.00587179888166144,0.00436093022273922,0.0033309268796695934,0.002895195213079229,0.002336203656232947,0.0021199535417944317,0.0018875314325097062,0.001821174186475506]",29.592643072638612,"[29.591881283383106,0.20387941307412072,0.04432769630113214,0.02882093211355882,0.02392597372239316,0.007481581174381803,0.006701111571568629,0.004469367808806969,0.0034820447781956708,0.0025393441274900366,0.0019035280431134232,0.0016500596347725634,0.0013326544802923098,0.0012145599910512012,0.0010799844965643116,0.001042090549209081]",0.00048121482541318983,0.0016615453556353638
N1000,5,46,v_b,4,4.142032097754666,"[4.134683350080218,0.24329160238459208,0.03157665612811851,0.01641940281019392,0.0118751230161757,0.008982268522846736,0.006849773451308626,0.005412399208120298,0.004262534135226259,0.004205047892739562,0.003219769257634319,0.0026595065777841524,0.002158352804471439,0.0021011335408862237,0.0018159552062201982,0.0015594854840565175]",32.280382635195345,"[32.27998506559148,0.15853516619861288,0.017913185916800838,0.009579687354785316,0.0067450153732749926,0.005206420828555555,0.004120957455702701,0.003044888928863608,0.0024150156037402283,0.00239900166085893,0.0018869680191731463,0.0015093404289060626,0.0012441188456660277,0.0012025018218900878,0.00104890496810499,0.0009012500546260035]",0.00048583949683234096,0.0016838767868268395
N1000,5,46,v_b,5,4.439847371966965,"[4.439011351316605,0.07984289942489398,0.021295345016474742,0.016155893375751802,0.012461798972729478,0.008252669645421573,0.005664030093103534,0.004370994169436865,0.004040651719841057,0.0034053411160900734,0.002893756605120885,0.0025592250399552358,0.002292987487126931,0.0021034336899918033,0.001833847188390288,0.0017419339243847963]",34.8906876995651,"[34.89065116895546,0.046815489899192715,0.012664978553668807,0.009431327019337184,0.007023944386577923,0.004796500275336346,0.0032011320475520176,0.002463427368818561,0.002319054766346092,0.001956982227899762,0.0016681319608099995,0.0014954263163117361,0.001315102330899488,0.0011879836980144376,0.0010513351617158979,0.000991135243268424]",0.0004871586206718348,0.0016839348773910064
N1000,5,46,v_b,6,4.374972658118801,"[4.373229920837435,0.11654251918859665,0.028202839065209116,0.01999768543030914,0.014865051141995165,0.010386208101431859,0.0071650649663929904,0.005308285924515281,0.004341070468235153,0.0031218351224322725,0.0029825712823610007,0.002450094581234208,0.0022431261244784703,0.002083413801990949,0.0019547046641210466,0.0018195566750762225]",34.272294390990474,"[34.272212222302215,0.07112772953996145,0.016477496730397452,0.011853799421439612,0.00903879187104727,0.005715291325072764,0.004192459512440566,0.0030064481643934556,0.002534805252493569,0.0018203151005644798,0.0017203675877243232,0.0014151948705901354,0.0012581581267870475,0.001170425126423291,0.0011455529815815975,0.0010448405964507948]",0.0004880495762336068,0.001715289008747015
N1000,5,46,v_b,7,4.25731221897464,"[4.252946416701798,0.16423465552714017,0.08972554417568772,0.03504534188042556,0.025379459889985957,0.011425362643153315,0.006436173040673885,0.004486798594693406,0.004326135011056689,0.003953623817533836,0.0028275808038144648,0.0026981518920133805,0.002297506777099252,0.002018419692184842,0.0019088191743584007,0.0018454277636957457]",33.20907899606339,"[33.20888859083994,0.09614482204943621,0.05188740192929844,0.020046805821013498,0.014942648247085171,0.006564559160881583,0.0037359585886335344,0.002515379012393023,0.002473048700885058,0.0023239926680759995,0.0016025437353305752,0.0014947316491027898,0.0013083029082605847,0.0011707629691269292,0.0011019086346584623,0.0010235874591830237]",0.0004867344396188855,0.0017242354080373111
N1000,5,46,v_b,8,4.554645164035392,"[4.554288758720845,0.04837903440888408,0.020127146791198574,0.015623795213772036,0.01118989388137585,0.007438668360451573,0.004613038760562899,0.0034393928312117564,0.002893220453569605,0.00285168113375918,0.0025815009650599964,0.0024008665330708494,0.0020383374317739745,0.0018838788675895736,0.0018438910196929908,0.0017448617880590545]",35.27702776509833,"[35.27701212011684,0.028383033300644962,0.01164036708213571,0.008878960046539501,0.006311852496024208,0.004273975125730931,0.0027142362184900256,0.0019889644551420197,0.0016791337918571796,0.001611354637369908,0.0015463193175874362,0.0013398294724511464,0.0012110077430700517,0.0010950540055683707,0.0010862010917164037,0.0010044262618291845]",0.0004853158607147634,0.0016950920024977995
N1000,5,46,v_b,9,4.560351694251136,"[4.559651774876923,0.0664465947749159,0.036411236354021784,0.01839593688846313,0.012349200902469484,0.006436594866374854,0.005568965098885253,0.005265605812881948,0.0035580609286525343,0.002870882021402895,0.002639931553188883,0.0024295836268289623,0.0022571529110924473,0.002192072945289788,0.002090214170809716,0.0017925537570649198]",34.79086401110359,"[34.79083455136826,0.03717955115396864,0.021406772247476856,0.010554132198934224,0.006931949236712347,0.0035892585281173607,0.003243565141831955,0.0030733557728916125,0.0020436464670852993,0.0016504339259067868,0.0015366249726234602,0.0014145075236869648,0.0013061117110352153,0.001227991905196483,0.0012026275803895079,0.0010373959387230346]",0.0004880397391389124,0.0016787511385231912
N1000,5,46,v_b,10,4.371648295054293,"[4.370344585957538,0.09532259453699116,0.039339686789550805,0.019618284636131775,0.01177785697485057,0.011275688033023359,0.0068449270285619035,0.004283319208492595,0.003258479326475898,0.0028407854447294752,0.0026365769824154275,0.002529458158593932,0.002097677095077346,0.0020777976961622027,0.001815128529330267,0.001738398524923242]",34.30287027510231,"[34.302815305944854,0.05469540911522485,0.022692014396275075,0.01177222431459998,0.006797110959430583,0.0065337957640311285,0.003952266935868652,0.002499945404425509,0.001886666321690619,0.0016233532153802329,0.0015068084041136797,0.001399337282242082,0.00122058786356058,0.0011425702316766504,0.0010621914909406391,0.0009939173465905596]",0.0004875235172221437,0.0016977728605655454
N1000,5,46,v_b,11,4.094014514479539,"[4.084671618514978,0.27097964451684375,0.042841009996022625,0.026920225568082917,0.012678123624610124,0.009646377078777591,0.007938649565608732,0.005873142336015785,0.004705425598231932,0.0038716597037335354,0.0030316856161930546,0.0028044561572650255,0.0022752732264804763,0.0022654598183014098,0.0019419285508288763,0.001739178449535429]",31.77447682873174,"[31.773934670669192,0.18284835938913574,0.025577848720646484,0.014958499072152203,0.007425035439738481,0.0055075171715101776,0.004642920364291071,0.003402936776152445,0.002632748744404697,0.002254563562886786,0.0017170680818133222,0.0016099197306632424,0.0013342518347547953,0.00128426834714312,0.001080182834125447,0.001013185275881855]",0.0004870546981692314,0.0016780158465914078
N1000,5,46,v_b,12,4.499948401488803,"[4.499549193312645,0.049932499212379355,0.02607246657057202,0.013592904483785908,0.009443662209911134,0.007626134190577613,0.0046850892075506285,0.004293345467596885,0.0035127242977567516,0.0027202946619098653,0.002358537697031666,0.0023029715232186676,0.002243177866423549,0.0020439819934663646,0.001999586286623532,0.001827773452059634]",34.893924287585186,"[34.893906750016455,0.02917054508174746,0.0151979812707525,0.008045090723897743,0.005452195841588258,0.004356039854339091,0.0026634379921033815,0.0025322370416957347,0.0019656700998916306,0.001572048664284034,0.001360007142333882,0.0013361253304107073,0.0012658248875978913,0.0011388025423032882,0.0010811970979697015,0.0010199007375797549]",0.00048306473763659596,0.001732391721280668
N1000,5,46,v_b,13,4.592885137655114,"[4.5927309801100344,0.02440785302038199,0.0219457638440684,0.011022114323397452,0.01043496958308478,0.006084117687596929,0.003982133482941439,0.0036472511171171274,0.0031478095081135804,0.0025999186139207923,0.00249922863112534,0.0021856455952815727,0.0020444082287578236,0.001960807050293688,0.0018492472226796287,0.0017276354683930897]",35.63379445499901,"[35.6337876637435,0.014600831510033791,0.0125598829388316,0.0063775125619758835,0.0060032427554140965,0.0035284205967500777,0.002330011048170849,0.002125407963537341,0.0018101599982811548,0.0015165259476123878,0.001455733909268814,0.0012810653093883566,0.0011777415321284827,0.0010852950385760582,0.0010440731610315685,0.0009807746117029017]",0.0004880742635577917,0.0016908287829549735
