suite,task_id,init_state_id,env_seed,policy_seed_root,global_task_id,correct_teacher_demo,other_teacher_demo,video_ordinal,main_correct_success,main_same_task_other_success,main_cross_suite_wrong_success,main_shuffled_success,main_reversed_success,ablation_correct_success,ablation_same_task_other_success,ablation_cross_suite_wrong_success,ablation_shuffled_success,ablation_reversed_success,shared_no_video_success
libero_10,1,46,7,7,31,5,22,46,0,0,0,1,1,1,0,1,0,1,1
libero_10,1,47,7,7,31,30,47,47,1,0,1,1,0,1,0,1,0,0,0
libero_10,1,48,7,7,31,29,46,48,1,1,1,1,0,1,1,0,0,0,0
libero_10,1,49,7,7,31,1,18,49,0,0,0,1,0,0,0,0,0,0,0
libero_10,2,0,7,7,32,16,33,0,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,1,7,7,32,35,2,1,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,2,7,7,32,12,29,2,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,3,7,7,32,8,25,3,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,4,7,7,32,37,4,4,0,0,0,0,0,0,0,0,0,0,1
libero_10,2,5,7,7,32,42,9,5,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,6,7,7,32,15,32,6,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,7,7,7,32,43,10,7,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,8,7,7,32,33,0,8,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,9,7,7,32,25,42,9,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,10,7,7,32,3,20,10,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,11,7,7,32,29,46,11,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,12,7,7,32,24,41,12,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,13,7,7,32,28,45,13,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,14,7,7,32,47,14,14,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,15,7,7,32,36,3,15,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,16,7,7,32,18,35,16,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,17,7,7,32,46,13,17,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,18,7,7,32,39,6,18,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,19,7,7,32,31,48,19,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,20,7,7,32,32,49,20,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,21,7,7,32,34,1,21,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,22,7,7,32,19,36,22,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,23,7,7,32,49,16,23,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,24,7,7,32,45,12,24,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,25,7,7,32,21,38,25,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,26,7,7,32,44,11,26,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,27,7,7,32,2,19,27,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,28,7,7,32,38,5,28,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,29,7,7,32,5,22,29,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,30,7,7,32,1,18,30,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,31,7,7,32,27,44,31,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,32,7,7,32,7,24,32,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,33,7,7,32,13,30,33,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,34,7,7,32,23,40,34,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,35,7,7,32,11,28,35,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,36,7,7,32,9,26,36,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,37,7,7,32,0,17,37,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,38,7,7,32,10,27,38,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,39,7,7,32,26,43,39,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,40,7,7,32,4,21,40,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,41,7,7,32,30,47,41,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,42,7,7,32,40,7,42,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,43,7,7,32,22,39,43,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,44,7,7,32,41,8,44,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,45,7,7,32,17,34,45,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,46,7,7,32,20,37,46,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,47,7,7,32,14,31,47,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,48,7,7,32,48,15,48,0,0,0,0,0,0,0,0,0,0,0
libero_10,2,49,7,7,32,6,23,49,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,0,7,7,23,35,2,0,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,1,7,7,23,13,30,1,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,2,7,7,23,15,32,2,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,3,7,7,23,8,25,3,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,4,7,7,23,34,1,4,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,5,7,7,23,28,45,5,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,6,7,7,23,29,46,6,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,7,7,7,23,19,36,7,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,8,7,7,23,17,34,8,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,9,7,7,23,2,19,9,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,10,7,7,23,0,17,10,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,11,7,7,23,31,48,11,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,12,7,7,23,3,20,12,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,13,7,7,23,30,47,13,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,14,7,7,23,5,22,14,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,15,7,7,23,26,43,15,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,16,7,7,23,4,21,16,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,17,7,7,23,9,26,17,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,18,7,7,23,14,31,18,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,19,7,7,23,12,29,19,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,20,7,7,23,27,44,20,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,21,7,7,23,32,49,21,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,22,7,7,23,36,3,22,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,23,7,7,23,44,11,23,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,24,7,7,23,46,13,24,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,25,7,7,23,11,28,25,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,26,7,7,23,41,8,26,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,27,7,7,23,16,33,27,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,28,7,7,23,48,15,28,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,29,7,7,23,23,40,29,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,30,7,7,23,21,38,30,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,31,7,7,23,38,5,31,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,32,7,7,23,22,39,32,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,33,7,7,23,39,6,33,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,34,7,7,23,42,9,34,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,35,7,7,23,18,35,35,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,36,7,7,23,6,23,36,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,37,7,7,23,49,16,37,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,38,7,7,23,33,0,38,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,39,7,7,23,37,4,39,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,40,7,7,23,24,41,40,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,41,7,7,23,7,24,41,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,42,7,7,23,40,7,42,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,43,7,7,23,1,18,43,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,44,7,7,23,20,37,44,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,45,7,7,23,45,12,45,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,46,7,7,23,10,27,46,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,47,7,7,23,47,14,47,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,48,7,7,23,43,10,48,0,0,0,0,0,0,0,0,0,0,0
libero_goal,3,49,7,7,23,25,42,49,0,0,0,0,0,0,0,0,0,0,0
libero_goal,6,0,7,7,26,45,12,0,1,1,1,1,1,1,1,1,1,1,1
libero_goal,6,1,7,7,26,8,25,1,1,1,1,1,1,1,1,1,1,1,1
libero_goal,6,2,7,7,26,22,39,2,1,1,1,1,1,1,1,1,1,1,1
libero_goal,6,3,7,7,26,34,1,3,1,1,0,0,1,0,0,1,0,1,0
libero_goal,6,4,7,7,26,49,16,4,1,1,1,1,1,1,1,1,1,1,1
libero_goal,6,5,7,7,26,41,8,5,1,1,1,0,0,1,1,0,1,0,0
libero_goal,6,6,7,7,26,9,26,6,1,1,1,1,1,1,1,1,1,1,1
libero_goal,6,7,7,7,26,40,7,7,1,1,1,1,1,1,1,1,1,1,1
libero_goal,6,8,7,7,26,29,46,8,1,1,1,1,1,1,1,1,1,1,1
libero_goal,6,9,7,7,26,26,43,9,1,1,1,1,1,1,1,1,1,1,1
libero_goal,6,10,7,7,26,7,24,10,1,1,0,1,0,1,1,0,1,0,1
libero_goal,6,11,7,7,26,10,27,11,1,1,1,0,0,1,1,1,0,0,0
libero_goal,6,12,7,7,26,44,11,12,1,1,1,1,1,1,1,1,1,1,1
libero_goal,6,13,7,7,26,1,18,13,1,1,0,0,0,1,1,0,0,0,1
libero_goal,6,14,7,7,26,35,2,14,1,1,1,1,1,1,1,0,1,1,1
libero_goal,6,15,7,7,26,20,37,15,1,1,1,1,0,1,1,1,1,0,1
libero_goal,6,16,7,7,26,2,19,16,1,1,0,0,0,0,0,0,1,0,0
libero_goal,6,17,7,7,26,0,17,17,1,1,1,0,1,1,1,0,1,0,1
libero_goal,6,18,7,7,26,23,40,18,1,1,1,1,1,0,0,0,1,1,1
libero_goal,6,19,7,7,26,36,3,19,1,1,1,1,0,1,1,0,1,0,1
libero_goal,6,20,7,7,26,43,10,20,1,0,0,1,1,0,0,0,0,1,1
libero_goal,6,21,7,7,26,21,38,21,1,1,1,1,1,1,1,1,1,1,1
libero_goal,6,22,7,7,26,31,48,22,1,1,1,1,1,1,1,1,1,1,1
libero_goal,6,23,7,7,26,27,44,23,1,1,1,1,1,1,1,1,1,1,1
libero_goal,6,24,7,7,26,47,14,24,1,1,1,1,1,1,1,0,0,1,0
libero_goal,6,25,7,7,26,5,22,25,1,1,1,0,0,1,1,1,1,0,1
libero_goal,6,26,7,7,26,11,28,26,1,1,1,1,1,1,1,1,1,1,0
libero_goal,6,27,7,7,26,24,41,27,1,1,1,1,0,0,0,1,1,1,1
libero_goal,6,28,7,7,26,38,5,28,1,1,1,1,1,1,1,1,0,1,1
libero_goal,6,29,7,7,26,16,33,29,1,1,1,1,0,1,1,1,0,0,1
libero_goal,6,30,7,7,26,39,6,30,1,1,1,1,1,0,0,0,1,1,1
libero_goal,6,31,7,7,26,12,29,31,1,1,1,1,1,1,1,1,1,1,1
libero_goal,6,32,7,7,26,42,9,32,1,1,0,1,1,0,0,0,0,1,1
libero_goal,6,33,7,7,26,48,15,33,1,1,1,1,1,1,0,1,1,1,1
libero_goal,6,34,7,7,26,32,49,34,1,1,1,0,1,1,1,1,1,0,1
libero_goal,6,35,7,7,26,13,30,35,1,0,1,0,1,1,1,1,0,1,1
libero_goal,6,36,7,7,26,4,21,36,1,1,1,1,1,1,1,1,1,1,1
libero_goal,6,37,7,7,26,30,47,37,1,1,1,1,0,1,1,1,0,1,1
libero_goal,6,38,7,7,26,3,20,38,1,1,1,1,1,1,1,1,1,0,1
libero_goal,6,39,7,7,26,46,13,39,1,1,1,1,0,0,0,1,1,1,1
libero_goal,6,40,7,7,26,14,31,40,0,1,1,1,1,1,1,1,1,1,1
libero_goal,6,41,7,7,26,28,45,41,1,1,1,0,1,1,1,1,1,1,1
libero_goal,6,42,7,7,26,19,36,42,1,1,1,1,0,1,1,0,1,0,1
libero_goal,6,43,7,7,26,17,34,43,1,1,1,1,0,1,1,1,0,0,1
libero_goal,6,44,7,7,26,33,0,44,1,1,1,1,1,1,1,1,1,1,0
libero_goal,6,45,7,7,26,37,4,45,1,1,1,1,1,1,1,1,1,1,1
libero_goal,6,46,7,7,26,15,32,46,1,1,1,1,1,1,1,1,0,0,1
libero_goal,6,47,7,7,26,25,42,47,1,1,1,1,1,1,1,1,1,1,1
libero_goal,6,48,7,7,26,6,23,48,0,0,1,0,1,1,0,1,0,0,1
libero_goal,6,49,7,7,26,18,35,49,1,1,1,1,1,1,1,1,1,0,0
libero_object,1,0,7,7,11,34,1,0,1,1,1,0,0,1,1,1,1,0,0
libero_object,1,1,7,7,11,10,27,1,1,1,1,0,1,1,1,0,0,0,0
libero_object,1,2,7,7,11,12,29,2,1,1,1,1,1,0,0,1,1,0,0
libero_object,1,3,7,7,11,2,19,3,1,1,1,1,1,1,1,1,0,0,0
libero_object,1,4,7,7,11,39,6,4,1,1,0,1,1,1,1,1,1,1,0
libero_object,1,5,7,7,11,8,25,5,1,1,1,1,1,1,1,1,0,0,0
libero_object,1,6,7,7,11,35,2,6,1,1,0,0,1,0,1,1,0,1,0
libero_object,1,7,7,7,11,41,8,7,1,1,1,1,1,1,1,1,1,0,0
libero_object,1,8,7,7,11,45,12,8,1,1,1,1,1,1,1,1,1,1,0
libero_object,1,9,7,7,11,16,33,9,1,1,1,1,1,1,1,0,1,1,0
libero_object,1,10,7,7,11,4,21,10,1,1,0,0,1,1,0,1,0,0,0
libero_object,1,11,7,7,11,3,20,11,1,1,0,1,1,1,1,1,0,1,0
libero_object,1,12,7,7,11,30,47,12,1,1,1,0,1,0,0,1,1,0,0
libero_object,1,13,7,7,11,23,40,13,1,1,1,1,1,1,1,1,1,1,1
libero_object,1,14,7,7,11,14,31,14,1,1,1,1,1,0,0,1,0,0,0
libero_object,1,15,7,7,11,48,15,15,1,1,1,0,1,1,1,1,1,1,0
libero_object,1,16,7,7,11,33,0,16,1,1,1,1,1,1,1,1,1,1,0
libero_object,1,17,7,7,11,18,35,17,0,0,1,1,0,1,1,1,0,0,0
libero_object,1,18,7,7,11,13,30,18,1,1,1,1,1,0,1,1,0,1,0
libero_object,1,19,7,7,11,46,13,19,1,1,0,1,1,1,1,1,0,0,0
libero_object,1,20,7,7,11,43,10,20,1,0,0,0,0,0,1,0,1,0,0
libero_object,1,21,7,7,11,28,45,21,0,0,1,1,0,1,0,0,0,0,0
libero_object,1,22,7,7,11,29,46,22,1,1,1,0,1,1,1,1,1,1,0
libero_object,1,23,7,7,11,17,34,23,1,1,0,1,1,1,1,1,0,0,0
libero_object,1,24,7,7,11,37,4,24,1,1,1,1,1,1,1,1,1,1,0
libero_object,1,25,7,7,11,31,48,25,1,1,0,1,1,1,1,1,0,0,0
libero_object,1,26,7,7,11,26,43,26,1,1,1,1,1,1,0,1,0,0,0
libero_object,1,27,7,7,11,40,7,27,1,1,1,1,1,0,1,1,0,0,0
libero_object,1,28,7,7,11,42,9,28,1,1,1,0,1,1,1,1,1,0,0
libero_object,1,29,7,7,11,32,49,29,1,1,1,1,1,1,1,1,0,1,0
libero_object,1,30,7,7,11,24,41,30,0,0,1,0,0,0,1,0,0,0,0
libero_object,1,31,7,7,11,19,36,31,1,1,1,1,1,0,1,1,1,0,0
libero_object,1,32,7,7,11,47,14,32,0,0,0,1,1,1,1,1,0,0,0
libero_object,1,33,7,7,11,38,5,33,0,0,1,0,0,1,1,1,0,1,0
libero_object,1,34,7,7,11,11,28,34,1,1,1,0,1,1,0,1,0,0,0
libero_object,1,35,7,7,11,22,39,35,1,1,1,1,1,1,0,1,1,0,0
libero_object,1,36,7,7,11,25,42,36,1,1,1,1,1,1,1,1,0,1,0
libero_object,1,37,7,7,11,15,32,37,1,1,1,1,1,1,1,1,0,1,0
libero_object,1,38,7,7,11,9,26,38,0,1,0,1,0,1,0,1,1,0,0
libero_object,1,39,7,7,11,5,22,39,1,1,0,1,1,1,1,1,1,0,0
libero_object,1,40,7,7,11,7,24,40,1,1,0,1,1,1,1,1,0,0,0
libero_object,1,41,7,7,11,1,18,41,1,1,1,1,0,1,1,1,0,1,0
libero_object,1,42,7,7,11,27,44,42,1,1,1,1,1,1,1,1,0,1,0
libero_object,1,43,7,7,11,20,37,43,1,0,1,1,1,1,0,1,1,0,0
libero_object,1,44,7,7,11,0,17,44,1,1,1,1,1,1,1,1,1,1,0
libero_object,1,45,7,7,11,49,16,45,1,1,1,1,1,1,1,1,1,1,0
libero_object,1,46,7,7,11,44,11,46,1,1,1,1,1,1,1,1,1,1,0
libero_object,1,47,7,7,11,36,3,47,1,1,1,0,1,1,1,1,1,1,0
libero_object,1,48,7,7,11,6,23,48,0,1,0,0,0,1,1,0,0,1,0
libero_object,1,49,7,7,11,21,38,49,0,1,1,1,0,0,1,0,1,0,0
libero_object,3,0,7,7,13,33,0,0,0,1,0,0,0,0,0,0,0,0,0
libero_object,3,1,7,7,13,20,37,1,1,1,0,0,1,0,0,0,0,0,0
libero_object,3,2,7,7,13,18,35,2,0,0,0,0,1,0,1,0,0,1,0
libero_object,3,3,7,7,13,9,26,3,0,0,0,1,1,0,1,1,1,0,0
libero_object,3,4,7,7,13,42,9,4,0,0,0,0,0,1,0,0,0,0,0
libero_object,3,5,7,7,13,34,1,5,0,0,0,0,0,0,0,0,0,0,0
libero_object,3,6,7,7,13,24,41,6,1,1,0,0,0,0,1,0,1,1,0
libero_object,3,7,7,7,13,28,45,7,0,0,0,0,0,0,0,0,0,0,0
libero_object,3,8,7,7,13,25,42,8,0,0,0,0,0,0,1,0,0,0,0
libero_object,3,9,7,7,13,3,20,9,0,1,0,0,1,0,0,0,0,1,0
libero_object,3,10,7,7,13,16,33,10,1,0,0,1,1,0,0,1,1,1,0
libero_object,3,11,7,7,13,14,31,11,0,0,0,0,0,0,0,0,0,0,0
libero_object,3,12,7,7,13,44,11,12,0,1,0,0,1,0,0,0,0,1,0
libero_object,3,13,7,7,13,8,25,13,0,0,0,0,0,0,0,0,0,0,0
libero_object,3,14,7,7,13,48,15,14,1,1,0,1,1,1,1,1,1,1,0
libero_object,3,15,7,7,13,2,19,15,0,0,0,0,0,0,1,0,1,0,0
libero_object,3,16,7,7,13,36,3,16,0,0,0,1,1,1,0,0,0,0,0
libero_object,3,17,7,7,13,35,2,17,0,0,0,0,1,0,0,0,0,1,0
libero_object,3,18,7,7,13,0,17,18,1,1,0,0,1,0,1,0,0,0,0
libero_object,3,19,7,7,13,47,14,19,0,0,0,0,0,0,0,0,0,0,0
libero_object,3,20,7,7,13,30,47,20,0,0,0,0,1,0,0,0,1,0,0
libero_object,3,21,7,7,13,4,21,21,0,0,0,0,0,0,1,1,0,0,0
libero_object,3,22,7,7,13,13,30,22,1,1,0,0,0,0,0,1,1,0,0
libero_object,3,23,7,7,13,45,12,23,0,0,0,0,0,0,1,0,1,1,0
libero_object,3,24,7,7,13,43,10,24,0,1,0,0,0,1,0,0,1,1,0
libero_object,3,25,7,7,13,5,22,25,1,1,1,0,0,0,0,0,0,0,0
libero_object,3,26,7,7,13,7,24,26,0,0,0,0,0,0,0,0,0,0,0
libero_object,3,27,7,7,13,46,13,27,1,1,1,0,0,0,0,0,0,0,0
libero_object,3,28,7,7,13,15,32,28,0,0,1,0,0,0,0,0,0,0,0
libero_object,3,29,7,7,13,49,16,29,0,1,0,0,0,0,0,0,0,0,0
libero_object,3,30,7,7,13,26,43,30,1,1,1,1,1,1,1,0,0,1,0
libero_object,3,31,7,7,13,10,27,31,1,1,1,1,1,1,1,0,0,1,0
libero_object,3,32,7,7,13,23,40,32,1,0,0,0,1,1,0,0,0,0,0
libero_object,3,33,7,7,13,17,34,33,1,1,0,0,1,1,1,0,0,0,0
libero_object,3,34,7,7,13,1,18,34,0,0,0,1,1,0,1,0,1,1,0
libero_object,3,35,7,7,13,21,38,35,1,1,0,0,1,0,0,0,0,0,0
libero_object,3,36,7,7,13,12,29,36,1,1,0,0,0,0,1,0,0,0,0
libero_object,3,37,7,7,13,11,28,37,0,1,1,0,0,0,0,0,0,0,0
libero_object,3,38,7,7,13,40,7,38,0,1,0,1,1,0,0,0,0,1,0
libero_object,3,39,7,7,13,41,8,39,0,0,0,0,0,0,0,0,0,0,0
libero_object,3,40,7,7,13,19,36,40,0,0,0,0,0,0,0,1,0,0,0
libero_object,3,41,7,7,13,32,49,41,1,1,1,0,1,0,0,0,0,0,0
libero_object,3,42,7,7,13,38,5,42,0,0,1,0,0,0,0,0,0,0,0
libero_object,3,43,7,7,13,22,39,43,1,1,1,0,0,1,1,1,0,0,0
libero_object,3,44,7,7,13,29,46,44,0,0,0,0,0,0,0,0,0,0,0
libero_object,3,45,7,7,13,37,4,45,0,0,0,1,1,0,0,0,0,1,0
libero_object,3,46,7,7,13,31,48,46,0,0,0,0,0,0,0,1,0,0,0
libero_object,3,47,7,7,13,6,23,47,0,0,1,0,0,0,1,1,0,0,0
libero_object,3,48,7,7,13,27,44,48,1,1,0,0,0,1,0,1,0,1,0
libero_object,3,49,7,7,13,39,6,49,0,0,0,0,0,0,1,0,0,0,0
libero_spatial,1,0,7,7,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0
libero_spatial,1,1,7,7,1,21,38,1,0,0,0,0,0,0,0,0,0,0,0
libero_spatial,1,2,7,7,1,39,6,2,0,0,0,0,0,0,0,0,0,0,0
libero_spatial,1,3,7,7,1,14,31,3,0,0,0,0,0,0,0,0,0,0,0
libero_spatial,1,4,7,7,1,2,19,4,0,0,0,0,0,0,0,0,0,0,0
libero_spatial,1,5,7,7,1,34,1,5,0,0,0,0,0,0,0,0,0,0,0
libero_spatial,1,6,7,7,1,40,7,6,0,0,0,0,0,0,0,0,0,0,0
libero_spatial,1,7,7,7,1,8,25,7,0,0,0,0,0,0,0,0,0,0,0
libero_spatial,1,8,7,7,1,4,21,8,0,0,0,0,0,0,0,0,0,0,0
libero_spatial,1,9,7,7,1,42,9,9,0,0,0,0,0,0,0,0,0,0,0
libero_spatial,1,10,7,7,1,44,11,10,0,0,0,0,0,0,0,0,0,0,0
libero_spatial,1,11,7,7,1,24,41,11,0,0,0,0,0,0,0,0,0,0,0
libero_spatial,1,12,7,7,1,36,3,12,0,0,0,0,0,0,0,0,0,0,0
libero_spatial,1,13,7,7,1,37,4,13,0,0,0,0,0,0,0,0,0,0,0
