model,panel,step,condition,suite,global_task_id,task_id,rows,successes,success_rate,breadth,tasks
ablation,validation,900,correct,libero_10,32,2,50,0,0.0,0,1
ablation,validation,900,correct,libero_goal,23,3,50,0,0.0,0,1
ablation,validation,900,correct,libero_goal,26,6,50,32,0.64,1,1
ablation,validation,900,correct,libero_object,11,1,50,36,0.72,1,1
ablation,validation,900,correct,libero_object,13,3,50,12,0.24,1,1
ablation,validation,900,correct,libero_spatial,1,1,50,0,0.0,0,1
ablation,validation,900,correct,libero_spatial,3,3,50,18,0.36,1,1
ablation,validation,1200,correct,libero_10,31,1,50,15,0.3,1,1
ablation,validation,1200,correct,libero_10,32,2,50,0,0.0,0,1
ablation,validation,1200,correct,libero_goal,23,3,50,0,0.0,0,1
ablation,validation,1200,correct,libero_goal,26,6,50,41,0.82,1,1
ablation,validation,1200,correct,libero_object,11,1,50,42,0.84,1,1
ablation,validation,1200,correct,libero_object,13,3,50,6,0.12,1,1
ablation,validation,1200,correct,libero_spatial,1,1,50,0,0.0,0,1
ablation,validation,1200,correct,libero_spatial,3,3,50,32,0.64,1,1
ablation,validation,1500,correct,libero_10,31,1,50,18,0.36,1,1
ablation,validation,1500,correct,libero_10,32,2,50,0,0.0,0,1
ablation,validation,1500,correct,libero_goal,23,3,50,0,0.0,0,1
ablation,validation,1500,correct,libero_goal,26,6,50,42,0.84,1,1
ablation,validation,1500,correct,libero_object,11,1,50,40,0.8,1,1
ablation,validation,1500,correct,libero_object,13,3,50,10,0.2,1,1
ablation,validation,1500,correct,libero_spatial,1,1,50,0,0.0,0,1
ablation,validation,1500,correct,libero_spatial,3,3,50,37,0.74,1,1
ablation,validation,1500,cross_suite_wrong,libero_10,31,1,50,19,0.38,1,1
ablation,validation,1500,cross_suite_wrong,libero_10,32,2,50,0,0.0,0,1
ablation,validation,1500,cross_suite_wrong,libero_goal,23,3,50,0,0.0,0,1
ablation,validation,1500,cross_suite_wrong,libero_goal,26,6,50,37,0.74,1,1
ablation,validation,1500,cross_suite_wrong,libero_object,11,1,50,43,0.86,1,1
ablation,validation,1500,cross_suite_wrong,libero_object,13,3,50,10,0.2,1,1
ablation,validation,1500,cross_suite_wrong,libero_spatial,1,1,50,0,0.0,0,1
ablation,validation,1500,cross_suite_wrong,libero_spatial,3,3,50,13,0.26,1,1
ablation,validation,1500,reversed,libero_10,31,1,50,15,0.3,1,1
ablation,validation,1500,reversed,libero_10,32,2,50,0,0.0,0,1
ablation,validation,1500,reversed,libero_goal,23,3,50,0,0.0,0,1
ablation,validation,1500,reversed,libero_goal,26,6,50,33,0.66,1,1
ablation,validation,1500,reversed,libero_object,11,1,50,22,0.44,1,1
ablation,validation,1500,reversed,libero_object,13,3,50,15,0.3,1,1
ablation,validation,1500,reversed,libero_spatial,1,1,50,0,0.0,0,1
ablation,validation,1500,reversed,libero_spatial,3,3,50,1,0.02,1,1
ablation,validation,1500,same_task_other,libero_10,31,1,50,20,0.4,1,1
ablation,validation,1500,same_task_other,libero_10,32,2,50,0,0.0,0,1
ablation,validation,1500,same_task_other,libero_goal,23,3,50,0,0.0,0,1
ablation,validation,1500,same_task_other,libero_goal,26,6,50,40,0.8,1,1
ablation,validation,1500,same_task_other,libero_object,11,1,50,40,0.8,1,1
ablation,validation,1500,same_task_other,libero_object,13,3,50,17,0.34,1,1
ablation,validation,1500,same_task_other,libero_spatial,1,1,50,0,0.0,0,1
ablation,validation,1500,same_task_other,libero_spatial,3,3,50,38,0.76,1,1
ablation,validation,1500,shuffled,libero_10,31,1,50,18,0.36,1,1
ablation,validation,1500,shuffled,libero_10,32,2,50,0,0.0,0,1
ablation,validation,1500,shuffled,libero_goal,23,3,50,0,0.0,0,1
ablation,validation,1500,shuffled,libero_goal,26,6,50,37,0.74,1,1
ablation,validation,1500,shuffled,libero_object,11,1,50,24,0.48,1,1
ablation,validation,1500,shuffled,libero_object,13,3,50,10,0.2,1,1
ablation,validation,1500,shuffled,libero_spatial,1,1,50,0,0.0,0,1
ablation,validation,1500,shuffled,libero_spatial,3,3,50,15,0.3,1,1
ablation,validation,1800,correct,libero_10,31,1,50,12,0.24,1,1
ablation,validation,1800,correct,libero_10,32,2,50,0,0.0,0,1
ablation,validation,1800,correct,libero_goal,23,3,50,0,0.0,0,1
ablation,validation,1800,correct,libero_goal,26,6,50,43,0.86,1,1
ablation,validation,1800,correct,libero_object,11,1,50,36,0.72,1,1
ablation,validation,1800,correct,libero_object,13,3,50,19,0.38,1,1
ablation,validation,1800,correct,libero_spatial,1,1,50,0,0.0,0,1
ablation,validation,1800,correct,libero_spatial,3,3,50,26,0.52,1,1
ablation,validation,2100,correct,libero_10,31,1,50,19,0.38,1,1
ablation,validation,2100,correct,libero_10,32,2,50,1,0.02,1,1
ablation,validation,2100,correct,libero_goal,23,3,50,0,0.0,0,1
ablation,validation,2100,correct,libero_goal,26,6,50,38,0.76,1,1
ablation,validation,2100,correct,libero_object,11,1,50,46,0.92,1,1
ablation,validation,2100,correct,libero_object,13,3,50,22,0.44,1,1
ablation,validation,2100,correct,libero_spatial,1,1,50,0,0.0,0,1
ablation,validation,2100,correct,libero_spatial,3,3,50,33,0.66,1,1
ablation,validation,2100,same_task_other,libero_10,31,1,50,20,0.4,1,1
ablation,validation,2100,same_task_other,libero_10,32,2,50,0,0.0,0,1
ablation,validation,2100,same_task_other,libero_goal,23,3,50,0,0.0,0,1
ablation,validation,2100,same_task_other,libero_goal,26,6,50,41,0.82,1,1
ablation,validation,2100,same_task_other,libero_object,11,1,50,47,0.94,1,1
ablation,validation,2100,same_task_other,libero_object,13,3,50,19,0.38,1,1
ablation,validation,2100,same_task_other,libero_spatial,1,1,50,0,0.0,0,1
ablation,validation,2100,same_task_other,libero_spatial,3,3,50,34,0.68,1,1
dual_camera,train,900,correct,libero_10,34,4,4,0,0.0,0,1
dual_camera,train,900,correct,libero_10,35,5,4,2,0.5,1,1
dual_camera,train,900,correct,libero_10,36,6,4,2,0.5,1,1
dual_camera,train,900,correct,libero_10,37,7,4,0,0.0,0,1
dual_camera,train,900,correct,libero_10,38,8,4,0,0.0,0,1
dual_camera,train,900,correct,libero_10,39,9,4,0,0.0,0,1
dual_camera,train,900,correct,libero_goal,20,0,4,3,0.75,1,1
dual_camera,train,900,correct,libero_goal,21,1,4,4,1.0,1,1
dual_camera,train,900,correct,libero_goal,22,2,4,2,0.5,1,1
dual_camera,train,900,correct,libero_goal,25,5,4,0,0.0,0,1
dual_camera,train,900,correct,libero_goal,28,8,4,4,1.0,1,1
dual_camera,train,900,correct,libero_goal,29,9,4,0,0.0,0,1
dual_camera,train,900,correct,libero_object,12,2,4,3,0.75,1,1
dual_camera,train,900,correct,libero_object,14,4,4,4,1.0,1,1
dual_camera,train,900,correct,libero_object,15,5,4,1,0.25,1,1
dual_camera,train,900,correct,libero_object,16,6,4,2,0.5,1,1
dual_camera,train,900,correct,libero_object,18,8,4,4,1.0,1,1
dual_camera,train,900,correct,libero_object,19,9,4,4,1.0,1,1
dual_camera,train,900,correct,libero_spatial,0,0,4,4,1.0,1,1
dual_camera,train,900,correct,libero_spatial,2,2,4,3,0.75,1,1
dual_camera,train,900,correct,libero_spatial,4,4,4,2,0.5,1,1
dual_camera,train,900,correct,libero_spatial,5,5,4,2,0.5,1,1
dual_camera,train,900,correct,libero_spatial,7,7,4,4,1.0,1,1
dual_camera,train,900,correct,libero_spatial,9,9,4,2,0.5,1,1
dual_camera,train,1200,correct,libero_10,34,4,4,2,0.5,1,1
dual_camera,train,1200,correct,libero_10,35,5,4,2,0.5,1,1
dual_camera,train,1200,correct,libero_10,36,6,4,3,0.75,1,1
dual_camera,train,1200,correct,libero_10,37,7,4,2,0.5,1,1
dual_camera,train,1200,correct,libero_10,38,8,4,1,0.25,1,1
dual_camera,train,1200,correct,libero_10,39,9,4,0,0.0,0,1
dual_camera,train,1200,correct,libero_goal,20,0,4,3,0.75,1,1
dual_camera,train,1200,correct,libero_goal,21,1,4,4,1.0,1,1
dual_camera,train,1200,correct,libero_goal,22,2,4,3,0.75,1,1
dual_camera,train,1200,correct,libero_goal,25,5,4,1,0.25,1,1
dual_camera,train,1200,correct,libero_goal,28,8,4,4,1.0,1,1
dual_camera,train,1200,correct,libero_goal,29,9,4,0,0.0,0,1
dual_camera,train,1200,correct,libero_object,12,2,4,4,1.0,1,1
dual_camera,train,1200,correct,libero_object,14,4,4,3,0.75,1,1
dual_camera,train,1200,correct,libero_object,15,5,4,2,0.5,1,1
dual_camera,train,1200,correct,libero_object,16,6,4,4,1.0,1,1
dual_camera,train,1200,correct,libero_object,18,8,4,3,0.75,1,1
dual_camera,train,1200,correct,libero_object,19,9,4,4,1.0,1,1
dual_camera,train,1200,correct,libero_spatial,0,0,4,2,0.5,1,1
dual_camera,train,1200,correct,libero_spatial,2,2,4,3,0.75,1,1
dual_camera,train,1200,correct,libero_spatial,4,4,4,4,1.0,1,1
dual_camera,train,1200,correct,libero_spatial,5,5,4,3,0.75,1,1
dual_camera,train,1200,correct,libero_spatial,7,7,4,4,1.0,1,1
dual_camera,train,1200,correct,libero_spatial,9,9,4,3,0.75,1,1
dual_camera,train,1500,correct,libero_10,34,4,4,3,0.75,1,1
dual_camera,train,1500,correct,libero_10,35,5,4,3,0.75,1,1
dual_camera,train,1500,correct,libero_10,36,6,4,4,1.0,1,1
dual_camera,train,1500,correct,libero_10,37,7,4,2,0.5,1,1
dual_camera,train,1500,correct,libero_10,38,8,4,1,0.25,1,1
dual_camera,train,1500,correct,libero_10,39,9,4,0,0.0,0,1
dual_camera,train,1500,correct,libero_goal,20,0,4,2,0.5,1,1
dual_camera,train,1500,correct,libero_goal,21,1,4,4,1.0,1,1
dual_camera,train,1500,correct,libero_goal,22,2,4,4,1.0,1,1
dual_camera,train,1500,correct,libero_goal,25,5,4,0,0.0,0,1
dual_camera,train,1500,correct,libero_goal,28,8,4,4,1.0,1,1
dual_camera,train,1500,correct,libero_goal,29,9,4,0,0.0,0,1
dual_camera,train,1500,correct,libero_object,12,2,4,3,0.75,1,1
dual_camera,train,1500,correct,libero_object,14,4,4,3,0.75,1,1
dual_camera,train,1500,correct,libero_object,15,5,4,3,0.75,1,1
dual_camera,train,1500,correct,libero_object,16,6,4,4,1.0,1,1
dual_camera,train,1500,correct,libero_object,18,8,4,3,0.75,1,1
dual_camera,train,1500,correct,libero_object,19,9,4,4,1.0,1,1
dual_camera,train,1500,correct,libero_spatial,0,0,4,3,0.75,1,1
dual_camera,train,1500,correct,libero_spatial,2,2,4,4,1.0,1,1
dual_camera,train,1500,correct,libero_spatial,4,4,4,3,0.75,1,1
dual_camera,train,1500,correct,libero_spatial,5,5,4,3,0.75,1,1
dual_camera,train,1500,correct,libero_spatial,7,7,4,4,1.0,1,1
dual_camera,train,1500,correct,libero_spatial,9,9,4,3,0.75,1,1
dual_camera,validation,900,correct,libero_10,31,1,50,22,0.44,1,1
dual_camera,validation,900,correct,libero_10,32,2,50,0,0.0,0,1
dual_camera,validation,900,correct,libero_goal,23,3,50,0,0.0,0,1
dual_camera,validation,900,correct,libero_goal,26,6,50,34,0.68,1,1
dual_camera,validation,900,correct,libero_object,11,1,50,36,0.72,1,1
dual_camera,validation,900,correct,libero_object,13,3,50,16,0.32,1,1
dual_camera,validation,900,correct,libero_spatial,1,1,50,0,0.0,0,1
dual_camera,validation,900,correct,libero_spatial,3,3,50,9,0.18,1,1
dual_camera,validation,1200,correct,libero_10,31,1,50,16,0.32,1,1
dual_camera,validation,1200,correct,libero_10,32,2,50,0,0.0,0,1
dual_camera,validation,1200,correct,libero_goal,23,3,50,0,0.0,0,1
dual_camera,validation,1200,correct,libero_goal,26,6,50,39,0.78,1,1
dual_camera,validation,1200,correct,libero_object,11,1,50,35,0.7,1,1
dual_camera,validation,1200,correct,libero_object,13,3,50,12,0.24,1,1
dual_camera,validation,1200,correct,libero_spatial,1,1,50,0,0.0,0,1
dual_camera,validation,1200,correct,libero_spatial,3,3,50,6,0.12,1,1
dual_camera,validation,1500,correct,libero_10,31,1,50,19,0.38,1,1
dual_camera,validation,1500,correct,libero_10,32,2,50,0,0.0,0,1
dual_camera,validation,1500,correct,libero_goal,23,3,50,0,0.0,0,1
dual_camera,validation,1500,correct,libero_goal,26,6,50,36,0.72,1,1
dual_camera,validation,1500,correct,libero_object,11,1,50,31,0.62,1,1
dual_camera,validation,1500,correct,libero_object,13,3,50,12,0.24,1,1
dual_camera,validation,1500,correct,libero_spatial,1,1,50,1,0.02,1,1
dual_camera,validation,1500,correct,libero_spatial,3,3,50,9,0.18,1,1
dual_camera,validation,1500,same_task_other,libero_10,31,1,50,22,0.44,1,1
dual_camera,validation,1500,same_task_other,libero_10,32,2,50,0,0.0,0,1
dual_camera,validation,1500,same_task_other,libero_goal,23,3,50,1,0.02,1,1
dual_camera,validation,1500,same_task_other,libero_goal,26,6,50,33,0.66,1,1
dual_camera,validation,1500,same_task_other,libero_object,11,1,50,28,0.56,1,1
dual_camera,validation,1500,same_task_other,libero_object,13,3,50,12,0.24,1,1
dual_camera,validation,1500,same_task_other,libero_spatial,1,1,50,1,0.02,1,1
dual_camera,validation,1500,same_task_other,libero_spatial,3,3,50,8,0.16,1,1
main,train,900,correct,libero_10,34,4,4,2,0.5,1,1
main,train,900,correct,libero_10,35,5,4,3,0.75,1,1
main,train,900,correct,libero_10,36,6,4,0,0.0,0,1
main,train,900,correct,libero_10,37,7,4,0,0.0,0,1
main,train,900,correct,libero_10,38,8,4,0,0.0,0,1
main,train,900,correct,libero_10,39,9,4,0,0.0,0,1
main,train,900,correct,libero_goal,20,0,4,3,0.75,1,1
main,train,900,correct,libero_goal,21,1,4,4,1.0,1,1
main,train,900,correct,libero_goal,22,2,4,3,0.75,1,1
main,train,900,correct,libero_goal,25,5,4,0,0.0,0,1
main,train,900,correct,libero_goal,28,8,4,4,1.0,1,1
main,train,900,correct,libero_goal,29,9,4,0,0.0,0,1
main,train,900,correct,libero_object,12,2,4,2,0.5,1,1
main,train,900,correct,libero_object,14,4,4,2,0.5,1,1
main,train,900,correct,libero_object,15,5,4,1,0.25,1,1
main,train,900,correct,libero_object,16,6,4,3,0.75,1,1
main,train,900,correct,libero_object,18,8,4,4,1.0,1,1
main,train,900,correct,libero_object,19,9,4,3,0.75,1,1
main,train,900,correct,libero_spatial,0,0,4,3,0.75,1,1
main,train,900,correct,libero_spatial,2,2,4,4,1.0,1,1
main,train,900,correct,libero_spatial,4,4,4,2,0.5,1,1
main,train,900,correct,libero_spatial,5,5,4,2,0.5,1,1
main,train,900,correct,libero_spatial,7,7,4,4,1.0,1,1
main,train,900,correct,libero_spatial,9,9,4,1,0.25,1,1
main,train,1200,correct,libero_10,34,4,4,3,0.75,1,1
main,train,1200,correct,libero_10,35,5,4,2,0.5,1,1
main,train,1200,correct,libero_10,36,6,4,4,1.0,1,1
main,train,1200,correct,libero_10,37,7,4,1,0.25,1,1
main,train,1200,correct,libero_10,38,8,4,0,0.0,0,1
main,train,1200,correct,libero_10,39,9,4,0,0.0,0,1
main,train,1200,correct,libero_goal,20,0,4,2,0.5,1,1
main,train,1200,correct,libero_goal,21,1,4,4,1.0,1,1
main,train,1200,correct,libero_goal,22,2,4,3,0.75,1,1
main,train,1200,correct,libero_goal,25,5,4,1,0.25,1,1
main,train,1200,correct,libero_goal,28,8,4,3,0.75,1,1
main,train,1200,correct,libero_goal,29,9,4,0,0.0,0,1
main,train,1200,correct,libero_object,12,2,4,3,0.75,1,1
main,train,1200,correct,libero_object,14,4,4,3,0.75,1,1
main,train,1200,correct,libero_object,15,5,4,4,1.0,1,1
main,train,1200,correct,libero_object,16,6,4,4,1.0,1,1
main,train,1200,correct,libero_object,18,8,4,4,1.0,1,1
main,train,1200,correct,libero_object,19,9,4,4,1.0,1,1
main,train,1200,correct,libero_spatial,0,0,4,3,0.75,1,1
main,train,1200,correct,libero_spatial,2,2,4,4,1.0,1,1
main,train,1200,correct,libero_spatial,4,4,4,4,1.0,1,1
main,train,1200,correct,libero_spatial,5,5,4,3,0.75,1,1
main,train,1200,correct,libero_spatial,7,7,4,4,1.0,1,1
main,train,1200,correct,libero_spatial,9,9,4,4,1.0,1,1
main,train,1500,correct,libero_10,34,4,4,3,0.75,1,1
main,train,1500,correct,libero_10,35,5,4,2,0.5,1,1
main,train,1500,correct,libero_10,36,6,4,1,0.25,1,1
main,train,1500,correct,libero_10,37,7,4,1,0.25,1,1
main,train,1500,correct,libero_10,38,8,4,0,0.0,0,1
main,train,1500,correct,libero_10,39,9,4,1,0.25,1,1
main,train,1500,correct,libero_goal,20,0,4,2,0.5,1,1
main,train,1500,correct,libero_goal,21,1,4,4,1.0,1,1
main,train,1500,correct,libero_goal,22,2,4,4,1.0,1,1
main,train,1500,correct,libero_goal,25,5,4,1,0.25,1,1
main,train,1500,correct,libero_goal,28,8,4,4,1.0,1,1
main,train,1500,correct,libero_goal,29,9,4,0,0.0,0,1
main,train,1500,correct,libero_object,12,2,4,4,1.0,1,1
main,train,1500,correct,libero_object,14,4,4,3,0.75,1,1
main,train,1500,correct,libero_object,15,5,4,1,0.25,1,1
main,train,1500,correct,libero_object,16,6,4,4,1.0,1,1
main,train,1500,correct,libero_object,18,8,4,4,1.0,1,1
main,train,1500,correct,libero_object,19,9,4,4,1.0,1,1
main,train,1500,correct,libero_spatial,0,0,4,3,0.75,1,1
main,train,1500,correct,libero_spatial,2,2,4,4,1.0,1,1
main,train,1500,correct,libero_spatial,4,4,4,4,1.0,1,1
main,train,1500,correct,libero_spatial,5,5,4,3,0.75,1,1
main,train,1500,correct,libero_spatial,7,7,4,4,1.0,1,1
main,train,1500,correct,libero_spatial,9,9,4,4,1.0,1,1
main,train,1800,correct,libero_10,34,4,4,3,0.75,1,1
main,train,1800,correct,libero_10,35,5,4,2,0.5,1,1
main,train,1800,correct,libero_10,36,6,4,3,0.75,1,1
main,train,1800,correct,libero_10,37,7,4,1,0.25,1,1
main,train,1800,correct,libero_10,38,8,4,0,0.0,0,1
main,train,1800,correct,libero_10,39,9,4,0,0.0,0,1
main,train,1800,correct,libero_goal,20,0,4,1,0.25,1,1
main,train,1800,correct,libero_goal,21,1,4,4,1.0,1,1
main,train,1800,correct,libero_goal,22,2,4,4,1.0,1,1
main,train,1800,correct,libero_goal,25,5,4,1,0.25,1,1
main,train,1800,correct,libero_goal,28,8,4,4,1.0,1,1
main,train,1800,correct,libero_goal,29,9,4,0,0.0,0,1
main,train,1800,correct,libero_object,12,2,4,4,1.0,1,1
main,train,1800,correct,libero_object,14,4,4,3,0.75,1,1
main,train,1800,correct,libero_object,15,5,4,4,1.0,1,1
main,train,1800,correct,libero_object,16,6,4,4,1.0,1,1
main,train,1800,correct,libero_object,18,8,4,3,0.75,1,1
main,train,1800,correct,libero_object,19,9,4,4,1.0,1,1
main,train,1800,correct,libero_spatial,0,0,4,2,0.5,1,1
main,train,1800,correct,libero_spatial,2,2,4,4,1.0,1,1
main,train,1800,correct,libero_spatial,4,4,4,4,1.0,1,1
main,train,1800,correct,libero_spatial,5,5,4,3,0.75,1,1
main,train,1800,correct,libero_spatial,7,7,4,4,1.0,1,1
main,train,1800,correct,libero_spatial,9,9,4,2,0.5,1,1
main,train,2100,correct,libero_10,34,4,4,3,0.75,1,1
main,train,2100,correct,libero_10,35,5,4,2,0.5,1,1
main,train,2100,correct,libero_10,36,6,4,4,1.0,1,1
main,train,2100,correct,libero_10,37,7,4,0,0.0,0,1
main,train,2100,correct,libero_10,38,8,4,1,0.25,1,1
main,train,2100,correct,libero_10,39,9,4,0,0.0,0,1
main,train,2100,correct,libero_goal,20,0,4,0,0.0,0,1
