study,lr_applied,step,lr_next,mean_flow_loss,mean_teaching_loss,mean_total_loss,writer_grad_norm,text_meta_grad_norm,vl_meta_grad_norm,meta_grad_norm,total_grad_norm,seconds,peak_reserved_gib,supervised_queries,teaching_queries
old,3.267326732673267e-05,11,3.564356435643564e-05,0.1491032957675911,0.10680893715471029,0.1847062748191612,0.5866026878356934,1.04360660770908e-05,0.00016636277723591775,1.657129701015947e-06,0.5866026282310486,13.059208673425019,35.23046875,924,308
old,3.564356435643564e-05,12,3.861386138613861e-05,0.1532390606367872,0.1250181971117854,0.19491179300738232,0.6913959383964539,1.860623524407856e-05,0.0003910335653927177,1.8387692080068518e-06,0.6913959383964539,21.951077627949417,35.23046875,1008,336
old,3.861386138613861e-05,13,4.158415841584158e-05,0.1602356703508468,0.09626302495598793,0.1923233453361761,0.7748915553092957,1.2524093108368106e-05,0.00021931760420557112,2.1466053112817463e-06,0.7748915553092957,15.325270809233189,35.23046875,1092,364
old,4.158415841584158e-05,14,4.4554455445544547e-05,0.17555757399116242,0.14220209792256355,0.22295827329868362,1.4399710893630981,5.542924554902129e-05,0.0007771331002004445,5.012088422517991e-06,1.4399710893630981,14.381267656572163,35.23046875,1176,392
old,4.4554455445544547e-05,15,4.752475247524752e-05,0.12224589527717658,0.05019158823415637,0.13897642468856206,0.712186336517334,3.50986811099574e-05,0.0006425219471566379,2.9694010663661174e-06,0.712186336517334,14.076544308103621,35.23046875,1260,420
old,4.752475247524752e-05,16,5.0495049504950497e-05,0.13090599833854605,0.08590305130928755,0.15954034877497525,1.201353907585144,3.8257709093159065e-05,0.0008731397101655602,6.962156930967467e-06,1.201353907585144,16.441753203049302,35.23046875,1344,448
old,5.0495049504950497e-05,17,5.346534653465346e-05,0.11796327866613865,0.05719013512134552,0.13702665703992048,1.0636961460113525,4.538440771284513e-05,0.0008211660897359252,5.423169113782933e-06,1.0636961460113525,19.309098709374666,35.23046875,1428,476
old,5.346534653465346e-05,18,5.643564356435643e-05,0.1615145066309543,0.1466963328421116,0.21041328424499148,2.1967766284942627,9.09981899894774e-05,0.0017639441648498178,1.363169758406002e-05,2.1967766284942627,16.21861606836319,35.23046875,1512,504
old,5.643564356435643e-05,19,5.9405940594059404e-05,0.13821004215805302,0.1372149637900293,0.18394836342139612,1.1519296169281006,3.513109186314978e-05,0.001059217844158411,5.898456947761588e-06,1.1519297361373901,19.631566335447133,35.23046875,1596,532
old,5.9405940594059404e-05,20,6.237623762376237e-05,0.13962544403260663,0.07237835135310888,0.1637515611503096,1.0920941829681396,7.880177145125344e-05,0.0012633353471755981,1.2039275134156924e-05,1.0920941829681396,19.463784438557923,35.23046875,1680,560
old,6.237623762376237e-05,21,6.534653465346533e-05,0.16588397164429936,0.1275997320190072,0.2084172156506351,2.4730732440948486,0.0002462730335537344,0.007559989579021931,2.1425939848995768e-05,2.4730732440948486,16.946760557591915,35.23046875,1764,588
old,6.534653465346533e-05,22,6.831683168316831e-05,0.11677797533394324,0.07221780065447092,0.14085057555210023,1.3324257135391235,9.631735156290233e-05,0.0015714478213340044,9.195185157295782e-06,1.3324257135391235,13.011997383087873,35.23046875,1848,616
old,6.831683168316831e-05,23,7.128712871287128e-05,0.12481254560961608,0.09896625764667988,0.15780129815850938,1.3141840696334839,7.899983756942675e-05,0.0010731772053986788,7.5004372774856165e-06,1.3141840696334839,16.449073437601328,35.23046875,1932,644
old,7.128712871287128e-05,24,7.425742574257426e-05,0.15097848725106033,0.06744667515158653,0.1734607123015892,1.2253780364990234,8.406693086726591e-05,0.0010910496348515153,7.704968993493821e-06,1.2253780364990234,16.506825637072325,35.23046875,2016,672
old,7.425742574257426e-05,25,7.722772277227722e-05,0.13933616761295567,0.05352168343961239,0.15717672875949312,1.0136133432388306,5.265975778456777e-05,0.0011532854987308383,7.63594562158687e-06,1.0136133432388306,13.069193948991597,35.23046875,2100,700
