study,task_group,start,end,exposures,flow_loss_mean,flow_loss_median,flow_loss_p95,teaching_loss_mean,teaching_loss_median,teaching_loss_p95,fm_lora_gradient_norm_mean,fm_lora_gradient_norm_median,fm_lora_gradient_norm_p95,teaching_lora_gradient_norm_mean,teaching_lora_gradient_norm_median,teaching_lora_gradient_norm_p95
old,common20,2001,2100,332,0.098418904597723,0.09530270206076757,0.14851605430954978,0.05103073214427624,0.04416717030107975,0.11077799648046494,0.009055618520725114,0.008808476850390434,0.013600299134850502,0.006973940277393593,0.006435425486415625,0.013086165301501751
old,old_only4,1,200,133,0.13813781872194297,0.13467800759133836,0.206786219562803,0.08971013848606806,0.07926412671804428,0.18047478795051575,0.012416235363825147,0.011568006128072739,0.02058943174779415,0.009368735901255133,0.008361071348190308,0.01852516457438469
old,old_only4,201,400,135,0.12339297548540895,0.11680325333561214,0.1914983405953362,0.08180080218999475,0.07199934870004654,0.19079650938510895,0.010947895939979288,0.009950203821063042,0.018108291551470757,0.009010309246541174,0.008173788897693157,0.015523561276495457
old,old_only4,401,600,132,0.11731233291494596,0.1115284203773453,0.1772083824589139,0.07280750006832408,0.06428823992609978,0.15835732221603394,0.011065792295884228,0.01028430787846446,0.017122440040111542,0.0076992787583025565,0.006943527143448591,0.013962162658572197
old,old_only4,601,800,134,0.11474508727492277,0.11375091615177335,0.17484246052446817,0.06742876588797836,0.05770277604460716,0.1431092917919159,0.010252402567151767,0.010044338647276163,0.014822801575064659,0.008034359201538697,0.007165845250710845,0.01611226424574852
old,old_only4,801,1000,132,0.11207565839011302,0.10645234975076856,0.16997589596680232,0.06388405081110471,0.058359671384096146,0.13102157413959503,0.01071900729739079,0.01029581157490611,0.015327907167375088,0.008062746153551747,0.00757964258082211,0.015090996399521828
old,old_only4,1001,1200,134,0.11129445646172646,0.10789974220097065,0.17232653072902132,0.06153756228567504,0.053646715357899666,0.12469072639942169,0.010425524925118062,0.010300892870873213,0.015491059981286526,0.007941734448853714,0.007034370908513665,0.014089659787714481
old,old_only4,1201,1400,135,0.10702135345883786,0.10575773886271886,0.16099458294255392,0.0569327806364055,0.048196177929639816,0.1156194880604744,0.009963373536313021,0.009813725017011166,0.01597927138209343,0.007132759695458743,0.006726314779371023,0.011742758564651012
old,old_only4,1401,1600,133,0.10296780852393526,0.09684985201983223,0.14984172014963057,0.05391958614993364,0.04825182259082794,0.11321645975112915,0.009372686533103311,0.009043893776834011,0.013645908795297146,0.00741825158763817,0.006774446927011013,0.013941583223640919
old,old_only4,1601,1800,132,0.10114253924630076,0.09514258908373968,0.15153799312455313,0.060011478888830454,0.0511062815785408,0.12873822450637817,0.009407358868470923,0.00943168206140399,0.013599886558949947,0.007510838074129865,0.007140301167964935,0.013120944611728191
old,old_only4,1801,2000,132,0.10239060210873081,0.09532068315006438,0.1533117386556807,0.05348715051712299,0.050515804439783096,0.10436931997537613,0.009359883461994204,0.009244257118552923,0.014016297645866871,0.007829282393989464,0.006811140803620219,0.015367425046861172
old,old_only4,2001,2100,68,0.103970846097332,0.09619448972599845,0.1616485338835489,0.06202948772731949,0.053442902863025665,0.1276702582836151,0.00986958686810206,0.009771684184670448,0.013422856107354164,0.008215985065736972,0.00787246460095048,0.012983015738427639
new,aux12,1,200,268,0.08999116140051712,0.09086653607941808,0.11904313947473251,0.04813563951930559,0.04368757829070091,0.09672380983829498,0.007330046159583631,0.006820519454777241,0.012920763343572617,0.005592317395555133,0.004961847327649593,0.010402633808553219
new,aux12,201,400,265,0.08922168466347033,0.0898923309785979,0.11482946007024675,0.0453215056432868,0.03995106369256973,0.09527340531349182,0.0067660189892674956,0.006286380812525749,0.011122425086796284,0.0050801219445003095,0.004519410897046328,0.009769059717655182
new,aux12,401,600,268,0.08763159364435422,0.08783963118635474,0.11138855736880074,0.04287854160543587,0.03858586959540844,0.0912376195192337,0.006337629654618509,0.005951730301603675,0.009739306755363941,0.004679387480058749,0.004412426613271236,0.007782807108014822
new,aux12,601,800,267,0.08827619892412994,0.087880035951024,0.11944213935307094,0.044621506051861506,0.03943626955151558,0.0952945277094841,0.006212041862413622,0.0057922303676605225,0.009739303961396217,0.004757363234964036,0.004312010947614908,0.008019239641726017
new,aux12,801,1000,265,0.08654580051606556,0.08634375638905026,0.11410410915102277,0.04404940741523257,0.0382474847137928,0.08873837441205978,0.0061367399612757955,0.005669302307069302,0.00895431824028492,0.005045779594132361,0.004399158526211977,0.009668673388659954
new,aux12,1001,1200,265,0.0871222790169989,0.08618925440879094,0.11505823192142303,0.04308900373091675,0.03583364933729172,0.09105458855628967,0.006257866864215653,0.005946838762611151,0.009385866113007069,0.0049150273726620486,0.004279004409909248,0.009137174114584923
new,aux12,1201,1400,268,0.08689099442287908,0.08685249258719738,0.11105369066908247,0.0466268535759022,0.04067203029990196,0.10227560997009277,0.0064313252623290264,0.0063143528532236814,0.009053267538547516,0.0051032733628283075,0.00450929207727313,0.009952647611498833
new,aux12,1401,1600,268,0.08808791582150266,0.08716289636989434,0.1185501522961117,0.04380521324546591,0.03860543295741081,0.08549948036670685,0.006537660096299404,0.006132681621238589,0.01026720181107521,0.004813938516317241,0.004417746793478727,0.008044096641242504
new,aux12,1601,1800,266,0.08645295630073434,0.0853755156553927,0.11725758051588422,0.04068758925668111,0.0353739857673645,0.08205153793096542,0.005858094338677768,0.0055693890899419785,0.008636600337922573,0.004399913433182957,0.004069823306053877,0.007762297056615353
