study,task_group,start,end,exposures,flow_loss_mean,flow_loss_median,flow_loss_p95,teaching_loss_mean,teaching_loss_median,teaching_loss_p95,fm_lora_gradient_norm_mean,fm_lora_gradient_norm_median,fm_lora_gradient_norm_p95,teaching_lora_gradient_norm_mean,teaching_lora_gradient_norm_median,teaching_lora_gradient_norm_p95
new,aux12,25,49,300,0.08999400962794583,0.08996960698139099,0.11614720026652019,0.04470467100540797,0.03960281051695347,0.0981205478310585,0.006771057251219948,0.006263005314394832,0.011170444078743458,0.004976806993751476,0.004476423375308514,0.009465171955525875
new,aux12,50,74,300,0.08756026739402423,0.0880764059367634,0.11277668532871064,0.04423994213808328,0.038448408246040344,0.09178072214126587,0.006187708785291761,0.0058140025939792395,0.009695054031908512,0.0047564407414756715,0.004404691979289055,0.007688163314014673
new,aux12,75,99,300,0.08693071709265784,0.08595073205374534,0.11567338733446031,0.04451671220362186,0.0390679519623518,0.09108976274728775,0.006030463961263497,0.005746491951867938,0.009082949720323086,0.004868072320629532,0.0043532769195735455,0.008906987495720387
new,aux12,100,124,300,0.08655606975069358,0.08602777229888098,0.11591105340492158,0.043776298857604465,0.03821568004786968,0.09048563987016678,0.006416281132648388,0.0059119530487805605,0.010041598230600357,0.005108770135169228,0.004490214632824063,0.009335389360785484
new,aux12,125,149,300,0.08698108756412117,0.08755506167099589,0.11074743029617128,0.044885327015072106,0.039415180683135986,0.09640228748321533,0.006402847304319342,0.0062770897056907415,0.009125779382884502,0.005012512823256354,0.004403851693496108,0.008925676345825195
new,aux12,150,174,300,0.08797340526112488,0.08696754826676277,0.11837418341920489,0.044221661454066634,0.0385473370552063,0.08653584122657776,0.006423912627312045,0.006105619948357344,0.00989560317248106,0.004747841960828131,0.0043500866740942,0.00844536628574133
new,aux12,175,199,300,0.0866857333360092,0.08587510191968509,0.11725758051588422,0.04089058969014635,0.0353739857673645,0.08170861005783081,0.0059567466642086704,0.005640146089717746,0.008855084888637066,0.004449443395715207,0.004155493341386318,0.007746793329715729
new,common20,0,24,500,0.12995154772769837,0.12364997519623666,0.20147500506469176,0.08439169280044735,0.07254177704453468,0.17997893691062927,0.015062030108645558,0.011471467558294535,0.033346399664878845,0.009904628620017319,0.007902680896222591,0.022675713524222374
new,common20,25,49,500,0.12258234978041478,0.11752137524031459,0.18635939771220797,0.07069494243338705,0.062476763501763344,0.1440579742193222,0.012874062346294523,0.010814185719937086,0.02417619898915291,0.008456333713140338,0.006855628918856382,0.017564011737704277
new,common20,50,74,500,0.11515645772289662,0.10826439268532254,0.171526544150852,0.06839926591329276,0.060384802520275116,0.1424383670091629,0.010820183157920837,0.009583896491676569,0.01915411837399006,0.007784714352339506,0.006610089680179954,0.015506632626056671
new,common20,75,99,500,0.11236659364118462,0.10801113875848906,0.16185298774923595,0.06189281215146184,0.05310022830963135,0.12795352935791016,0.010018083854578435,0.009563879109919071,0.016671454533934593,0.007137405907269567,0.006547248922288418,0.013291839510202408
new,common20,100,124,500,0.10947740838428338,0.10575684319649421,0.16055373918442498,0.06039075105823576,0.0532453004270792,0.13012295961380005,0.009905811379663646,0.00928421039134264,0.015180318616330624,0.007146966162603349,0.006350961048156023,0.013769594952464104
new,common20,125,149,500,0.10736804070075352,0.10416349892814954,0.15306530325185685,0.05692994684353471,0.050266919657588005,0.11555080115795135,0.010202244309708477,0.009681592229753733,0.016009556129574776,0.00685405488498509,0.006248108809813857,0.01376939658075571
new,common20,150,174,500,0.10561675293708131,0.10151625513320878,0.15723477800687152,0.05896769341640174,0.05321216583251953,0.11885624378919601,0.009799491660669447,0.009143806528300047,0.015643000602722168,0.0069249006160534915,0.006420403020456433,0.01179456990212202
new,common20,175,199,500,0.10336594391046534,0.10036916108358473,0.14863960161095574,0.054398684561252596,0.04596444219350815,0.12316552549600601,0.009361340765841305,0.008929579984396696,0.014493142254650593,0.0065516561779659244,0.005681659560650587,0.012729421257972717
new,new_only4,0,24,100,0.12408811894023701,0.12033144295925186,0.16492822624388195,0.08327381938695907,0.0762445293366909,0.15294517576694489,0.012945108767598867,0.011511370539665222,0.02504097856581211,0.009496260439045728,0.008397920057177544,0.01920950412750244
new,new_only4,25,49,100,0.11496499924610058,0.10858582616561935,0.1583703678278696,0.07094529891386628,0.06481952220201492,0.14166288077831268,0.010681803212501109,0.009994479361921549,0.016828401014208794,0.007523951029870659,0.006974423304200172,0.012555520050227642
new,new_only4,50,74,100,0.10973394064321404,0.10839119890616053,0.14613918108599527,0.06482911054044962,0.05789604038000107,0.12478689849376678,0.009538495051674544,0.00954440189525485,0.013471094891428947,0.006858931973110885,0.006070336326956749,0.012032633647322655
new,new_only4,75,99,100,0.10596227184292815,0.10424644996722539,0.14825362250918434,0.05846289346925914,0.04975842870771885,0.11724191159009933,0.009266557134687901,0.008890465833246708,0.013421902433037758,0.006623563792090863,0.005909163970500231,0.010937230661511421
new,new_only4,100,124,100,0.10548537817029725,0.10380883710015387,0.1461914742276782,0.05809624729678035,0.0502861849963665,0.11646432429552078,0.009342610738240182,0.009156323969364166,0.012645605951547623,0.007125344045925885,0.006400387501344085,0.013485805131494999
new,new_only4,125,149,100,0.10683689524375256,0.1064861739675204,0.13853999404680162,0.05412669479846954,0.04735438711941242,0.11253464967012405,0.010244314372539521,0.009754253085702658,0.014134540222585201,0.006681494002696127,0.006033571437001228,0.01182363461703062
new,new_only4,150,174,100,0.10293560512896095,0.10210869514516421,0.1373272147916612,0.059508077390491965,0.0504465289413929,0.11152170598506927,0.01019987449515611,0.009205484762787819,0.01577143184840679,0.00675378733780235,0.005987440003082156,0.011860918253660202
new,new_only4,175,199,100,0.10332035057601474,0.10173580014989489,0.14254824746222722,0.05634388353675604,0.04768625646829605,0.12372996658086777,0.009117913483642041,0.0084856441244483,0.012549535371363163,0.006879849708639085,0.006411513313651085,0.011876349337399006
