step,global_step,lr_applied,lr_next,mean_flow_loss,mean_teaching_loss,mean_total_loss,writer_grad_norm,text_meta_grad_norm,vl_meta_grad_norm,meta_grad_norm,total_grad_norm,seconds,gradient_sync_seconds,optimizer_seconds,peak_allocated_gib,peak_reserved_gib,condition_exposures,task_exposures,supervised_queries,teaching_queries,total_queries,optimizer_updates,rank_peak_allocated_gib_max,rank_peak_reserved_gib_max
337,337,0.00029975074330565644,0.00029974925785540514,0.13284872241673015,0.09259442426264286,0.16371353050427778,0.315552681684494,0.0005710147670470178,0.010551299899816513,0.0010487411636859179,0.315552681684494,12.248033864423633,0.03380111139267683,0.006231991574168205,20.673837661743164,21.431640625,1348,1348,28308,9436,37744,337,20.673837661743164,21.431640625
338,338,0.00029974925785540514,0.0002997477679958394,0.11488265632873489,0.09386857599020004,0.14617218165880155,0.20782701671123505,0.00013611973554361612,0.0030845939181745052,0.0005116293323226273,0.20782701671123505,13.513834935612977,0.030313249677419662,0.006251445971429348,20.673837661743164,21.431640625,1352,1352,28392,9464,37856,338,20.673837661743164,21.431640625
339,339,0.0002997477679958394,0.0002997462737270045,0.10906660964801197,0.07977350754663348,0.13565777883022312,0.31817591190338135,0.00014987865870352834,0.004883372224867344,0.0008695584838278592,0.31817591190338135,9.10780044272542,0.03520453814417124,0.006756332702934742,20.673837661743164,21.431640625,1356,1356,28476,9492,37968,339,20.673837661743164,21.431640625
340,340,0.0002997462737270045,0.00029974477504894593,0.0909417402442722,0.08769940119236708,0.12017487397506123,0.17027400434017181,0.0003093350969720632,0.004998988471925259,0.0005436866777017713,0.17027400434017181,10.293707691133022,0.03271451033651829,0.006296527571976185,20.673837661743164,21.431640625,1360,1360,28560,9520,38080,340,20.673837661743164,21.431640625
341,341,0.00029974477504894593,0.0002997432719617094,0.14453154607188132,0.09091355465352535,0.1748360642897231,0.2525166869163513,0.0002832303289324045,0.005475657992064953,0.0009788713650777936,0.2525166869163513,6.535687981173396,0.030673972330987453,0.00618499331176281,20.673837661743164,21.431640625,1364,1364,28644,9548,38192,341,20.673837661743164,21.431640625
342,342,0.0002997432719617094,0.0002997417644653407,0.11431512170072113,0.048984731547534466,0.13064336554989928,0.18878023326396942,0.00030589959351345897,0.005598662421107292,0.0008089038310572505,0.18878023326396942,7.874639360234141,0.030255391262471676,0.00623110868036747,20.673837661743164,21.431640625,1368,1368,28728,9576,38304,342,20.673837661743164,21.431640625
343,343,0.0002997417644653407,0.00029974025255988566,0.08755444872769572,0.03876711521297693,0.1004768204653547,0.1511501967906952,0.0002804080431815237,0.004968415014445782,0.0004695453681051731,0.1511501967906952,17.640500884503126,0.03315766993910074,0.006413648836314678,20.673837661743164,21.431640625,1372,1372,28812,9604,38416,343,20.673837661743164,21.431640625
344,344,0.00029974025255988566,0.00029973873624539047,0.09677728850926672,0.06001088675111532,0.11678091742630516,0.26854437589645386,0.0009525764617137611,0.011738339439034462,0.0005311838467605412,0.26854437589645386,11.737258534878492,0.03521189093589783,0.006451508030295372,20.673837661743164,21.431640625,1376,1376,28896,9632,38528,344,20.673837661743164,21.431640625
345,345,0.00029973873624539047,0.0002997372155219012,0.13474575536591665,0.08442655764520168,0.16288794124765055,0.29382428526878357,0.0001824543869588524,0.0040496294386684895,0.0002151069784304127,0.29382428526878357,11.002053589560091,0.03227487299591303,0.006926407106220722,20.673837661743164,21.431640625,1380,1380,28980,9660,38640,345,20.673837661743164,21.431640625
346,346,0.0002997372155219012,0.0002997356903894643,0.11061256928812889,0.09695561602711678,0.1429311079638345,0.28326740860939026,0.00014982499124016613,0.005749516189098358,0.0002762430813163519,0.28326740860939026,8.293566887266934,0.033304777927696705,0.006281145848333836,20.673837661743164,21.431640625,1384,1384,29064,9688,38752,346,20.673837661743164,21.431640625
347,347,0.0002997356903894643,0.0002997341608481261,0.12437048545550732,0.07624734379351139,0.1497862667200111,0.4223426282405853,0.00034319740370847285,0.009860063903033733,0.0012237833580002189,0.4223426282405853,9.52324864640832,0.03225653059780598,0.006175334565341473,20.673837661743164,21.431640625,1388,1388,29148,9716,38864,347,20.673837661743164,21.431640625
348,348,0.0002997341608481261,0.0002997326268979333,0.10814069938801582,0.03960757656022906,0.12134322490809218,0.2859652042388916,0.00010356762504670769,0.004090412054210901,0.0009232911979779601,0.285965234041214,8.658079808577895,0.030547477304935455,0.006249858066439629,20.673837661743164,21.431640625,1392,1392,29232,9744,38976,348,20.673837661743164,21.431640625
349,349,0.0002997326268979333,0.0002997310885389325,0.10762303233856246,0.09597534453496337,0.1396148138502169,0.2868099510669708,0.0003724284761119634,0.007960421033203602,0.001496794167906046,0.2868099510669708,7.681511129252613,0.030761415138840675,0.006281108595430851,20.673837661743164,21.431640625,1396,1396,29316,9772,39088,349,20.673837661743164,21.431640625
350,350,0.0002997310885389325,0.0002997295457711707,0.12061891296789759,0.06592314736917615,0.14259329542428964,0.18101540207862854,5.062117998022586e-05,0.002280303044244647,0.00028317735996097326,0.18101540207862854,10.480015991255641,0.031155251897871494,0.006138789467513561,20.673837661743164,21.431640625,1400,1400,29400,9800,39200,350,20.673837661743164,21.431640625
351,351,0.0002997295457711707,0.0002997279985946948,0.11057915210369088,0.07957686018198729,0.1371047721643533,0.6016210317611694,0.00026508572045713663,0.011471256613731384,0.0006041215383447707,0.6016210317611694,8.98821059986949,0.030404681339859962,0.006439956836402416,20.673837661743164,21.431640625,1404,1404,29484,9828,39312,351,20.673837661743164,21.431640625
352,352,0.0002997279985946948,0.00029972644700955193,0.09143776482059841,0.06865194719284773,0.11432174721821432,0.14763495326042175,0.0003213057934772223,0.008455061353743076,0.0012666457332670689,0.14763495326042175,7.29575293045491,0.030861536972224712,0.006243525072932243,20.673837661743164,21.431640625,1408,1408,29568,9856,39424,352,20.673837661743164,21.431640625
353,353,0.00029972644700955193,0.00029972489101578944,0.08569108610529275,0.03541613603010774,0.09749646478199532,0.13211578130722046,0.00017781415954232216,0.0043169185519218445,0.00032690932857804,0.13211578130722046,10.595937125384808,0.031607200391590595,0.006176430732011795,20.673837661743164,21.431640625,1412,1412,29652,9884,39536,353,20.673837661743164,21.431640625
354,354,0.00029972489101578944,0.00029972333061345464,0.1244064588099718,0.060987276025116444,0.14473555081834394,0.16843272745609283,0.00030763965332880616,0.0048282574862241745,0.00041251673246733844,0.16843272745609283,9.96086105518043,0.03730961959809065,0.006650835275650024,20.673837661743164,21.431640625,1416,1416,29736,9912,39648,354,20.673837661743164,21.431640625
355,355,0.00029972333061345464,0.00029972176580259514,0.11523228883743286,0.0801228079944849,0.14193989150226116,0.26281023025512695,0.0001224480220116675,0.0040932646952569485,0.0004983875551261008,0.26281023025512695,11.634739303030074,0.03058988507837057,0.006713945418596268,20.673837661743164,21.431640625,1420,1420,29820,9940,39760,355,20.673837661743164,21.431640625
356,356,0.00029972176580259514,0.0002997201965832585,0.10123348342520849,0.03736947011202574,0.11368997346255041,0.15531054139137268,0.00016184724518097937,0.004772800952196121,0.0004850921395700425,0.15531054139137268,8.42133589182049,0.03090736735612154,0.006553603336215019,20.673837661743164,21.431640625,1424,1424,29904,9968,39872,356,20.673837661743164,21.431640625
357,357,0.0002997201965832585,0.00029971862295549267,0.10929962354046957,0.0408384813927114,0.12291245067137337,0.18380513787269592,0.00030761747620999813,0.0035759154707193375,0.000232757578487508,0.18380513787269592,9.409652704373002,0.03166128695011139,0.006155116483569145,20.673837661743164,21.431640625,1428,1428,29988,9996,39984,357,20.673837661743164,21.431640625
358,358,0.00029971862295549267,0.0002997170449193454,0.11221772693984565,0.056811210699379444,0.13115479717297213,0.24066166579723358,0.00021670393471140414,0.008508172817528248,0.0009303960832767189,0.24066166579723358,8.224804669618607,0.03687070682644844,0.0062306346371769905,20.673837661743164,21.431640625,1432,1432,30072,10024,40096,358,20.673837661743164,21.431640625
359,359,0.0002997170449193454,0.0002997154624748649,0.12342581614142373,0.046558171045035124,0.13894520648976877,0.1863497942686081,0.00012825362500734627,0.003326532430946827,0.0002436110080452636,0.1863497942686081,16.147175679914653,0.033977256156504154,0.006296209059655666,20.675171375274658,21.43359375,1436,1436,30156,10052,40208,359,20.675171375274658,21.43359375
360,360,0.0002997154624748649,0.00029971387562209936,0.12790390104055405,0.09889812581241131,0.16086994297802448,0.24002741277217865,0.0005541887949220836,0.010244136676192284,0.0010583966504782438,0.24002742767333984,8.45369179919362,0.03111378662288189,0.0067153433337807655,20.675171375274658,21.43359375,1440,1440,30240,10080,40320,360,20.675171375274658,21.43359375
361,361,0.00029971387562209936,0.00029971228436109705,0.11819990467102755,0.11414580140262842,0.15624850513857036,0.3083774447441101,0.0003289140877313912,0.009964496828615665,0.002852675272151828,0.3083774447441101,14.249519964680076,0.030881347134709358,0.0062747253105044365,20.675171375274658,21.43359375,1444,1444,30324,10108,40432,361,20.675171375274658,21.43359375
362,362,0.00029971228436109705,0.0002997106886919065,0.12994751555933837,0.07814670912921429,0.15599641860240981,0.1723312884569168,0.00012595619773492217,0.0027625795919448137,0.00043393915984779596,0.172331303358078,11.046381291933358,0.030812790617346764,0.006223967298865318,20.675171375274658,21.43359375,1448,1448,30408,10136,40544,362,20.675171375274658,21.43359375
363,363,0.0002997106886919065,0.0002997090886145763,0.12364695114748818,0.06089120893739164,0.1439440207932854,0.23299744725227356,0.0003606828395277262,0.008263562805950642,0.0014080879045650363,0.23299744725227356,8.50211413577199,0.03207477834075689,0.00611981563270092,20.675171375274658,21.43359375,1452,1452,30492,10164,40656,363,20.675171375274658,21.43359375
364,364,0.0002997090886145763,0.00029970748412915524,0.10342697080756937,0.04261292377486825,0.11763127873252545,0.1739211082458496,0.00020995464001316577,0.005576026160269976,0.0005589675856754184,0.1739211082458496,6.885698262602091,0.031171146780252457,0.006325851194560528,20.675171375274658,21.43359375,1456,1456,30576,10192,40768,364,20.675171375274658,21.43359375
365,365,0.00029970748412915524,0.00029970587523569207,0.11192468119164307,0.057925011962652206,0.13123301851252714,0.1936359405517578,0.000218485263758339,0.003506687004119158,0.00015258797793649137,0.1936359405517578,10.136357294395566,0.03310426138341427,0.00642034225165844,20.675171375274658,21.43359375,1460,1460,30660,10220,40880,365,20.675171375274658,21.43359375
366,366,0.00029970587523569207,0.0002997042619342359,0.09412561969033309,0.04094026330858469,0.10777237412652799,0.1225966066122055,0.00011018241639249027,0.003911999985575676,0.00029567343881353736,0.1225966066122055,8.884886182844639,0.03074316307902336,0.006195635534822941,20.675171375274658,21.43359375,1464,1464,30744,10248,40992,366,20.675171375274658,21.43359375
367,367,0.0002997042619342359,0.0002997026442248359,0.1142859532542172,0.07141716312617064,0.13809167429627406,0.13254687190055847,8.919931860873476e-05,0.002931995317339897,0.00017771533748600632,0.13254687190055847,11.445687747560441,0.03419008385390043,0.006237376481294632,20.675171375274658,21.43359375,1468,1468,30828,10276,41104,367,20.675171375274658,21.43359375
368,368,0.0002997026442248359,0.0002997010221075412,0.1261778873879285,0.05903141014277935,0.14585502410218829,0.19227612018585205,9.760192915564403e-05,0.004368002992123365,0.0006711110472679138,0.19227612018585205,9.345293662510812,0.030704684555530548,0.00961619894951582,20.675171375274658,21.43359375,1472,1472,30912,10304,41216,368,20.675171375274658,21.43359375
369,369,0.0002997010221075412,0.00029969939558240137,0.08375325688116607,0.0464820833876729,0.09924728467705703,0.11792457103729248,0.00010054213635157794,0.002854275517165661,0.00040771503699943423,0.11792457103729248,8.364207711070776,0.030360658653080463,0.006700650788843632,20.675171375274658,21.43359375,1476,1476,30996,10332,41328,369,20.675171375274658,21.43359375
370,370,0.00029969939558240137,0.00029969776464946595,0.13294972851872444,0.07355555333197117,0.15746824629604816,0.26899680495262146,0.00019271281780675054,0.003264190861955285,0.00011000542144756764,0.26899680495262146,9.29166503623128,0.03301046136766672,0.0062117502093315125,20.675171375274658,21.43359375,1480,1480,31080,10360,41440,370,20.675171375274658,21.43359375
371,371,0.00029969776464946595,0.0002996961293087845,0.09135603070968673,0.045520088635385036,0.10652939358814842,0.15981629490852356,0.0002304253721376881,0.00738819595426321,0.00045662446063943207,0.15981629490852356,8.249054285697639,0.030552804470062256,0.006803082302212715,20.675171375274658,21.43359375,1484,1484,31164,10388,41552,371,20.675171375274658,21.43359375
372,372,0.0002996961293087845,0.0002996944895604069,0.09726719159100737,0.055525830714032054,0.11577580182901805,0.13639943301677704,0.00022526740212924778,0.00664657074958086,0.00031979396590031683,0.13639943301677704,11.406350870616734,0.031756697222590446,0.006192447617650032,20.675171375274658,21.43359375,1488,1488,31248,10416,41664,372,20.675171375274658,21.43359375
373,373,0.0002996944895604069,0.0002996928454043831,0.11738683513942219,0.05110503174364567,0.13442184572063742,0.2855754494667053,0.00023126433370634913,0.007012869231402874,0.0004930411232635379,0.2855754494667053,10.432775787077844,0.031075806356966496,0.006255242973566055,20.675171375274658,21.43359375,1492,1492,31332,10444,41776,373,20.675171375274658,21.43359375
374,374,0.0002996928454043831,0.0002996911968407633,0.11144839200590338,0.04384054709225893,0.126061907703323,0.1808277666568756,7.59317772462964e-05,0.0028821874875575304,6.790937186451629e-05,0.1808277666568756,7.055981629528105,0.032804859802126884,0.006300898268818855,20.675171375274658,21.43359375,1496,1496,31416,10472,41888,374,20.675171375274658,21.43359375
375,375,0.0002996911968407633,0.0002996895438695975,0.1281654001657097,0.07470548991113901,0.1530672301360894,0.17760616540908813,0.0002776239416562021,0.008700404316186905,0.0005002678371965885,0.17760616540908813,15.431283094920218,0.03227111045271158,0.00643070787191391,20.675171375274658,21.43359375,1500,1500,31500,10500,42000,375,20.675171375274658,21.43359375
376,376,0.0002996895438695975,0.0002996878864909362,0.0846279677713201,0.06728331092745066,0.10705573808047034,0.15595673024654388,0.00015274777251761407,0.003223259700462222,0.0004947175621055067,0.15595673024654388,9.244458679109812,0.03211613837629557,0.0066480934619903564,20.675171375274658,21.43359375,1504,1504,31584,10528,42112,376,20.675171375274658,21.43359375
377,377,0.0002996878864909362,0.0002996862247048298,0.12439570425166971,0.07203019736334682,0.14840577003945196,0.2977661192417145,0.00030594802228733897,0.007349954918026924,0.000536998501047492,0.2977661192417145,8.3323739124462,0.03090477455407381,0.006355833262205124,20.675171375274658,21.43359375,1508,1508,31668,10556,42224,377,20.675171375274658,21.43359375
378,378,0.0002996862247048298,0.000299684558511329,0.12685565109409036,0.07236848073080182,0.15097847800435762,0.1787070333957672,0.00014062899572309107,0.003666976233944297,0.0003849682689178735,0.1787070333957672,10.690100086852908,0.030320288613438606,0.0069782426580786705,20.675171375274658,21.43359375,1512,1512,31752,10584,42336,378,20.675171375274658,21.43359375
379,379,0.000299684558511329,0.0002996828879104845,0.10348145610519818,0.052371785044670105,0.12093871778675487,0.14947323501110077,9.33333722059615e-05,0.002988275373354554,0.0002544149465393275,0.14947323501110077,8.250198598951101,0.031056380830705166,0.006077208556234837,20.675171375274658,21.43359375,1516,1516,31836,10612,42448,379,20.675171375274658,21.43359375
380,380,0.0002996828879104845,0.0002996812129023472,0.09736593058776287,0.0479626078158617,0.11335346652638344,0.23322436213493347,0.00015636556781828403,0.006103841122239828,0.0003834781819023192,0.23322436213493347,8.447778807953,0.03213210962712765,0.006333187222480774,20.675171375274658,21.43359375,1520,1520,31920,10640,42560,380,20.675171375274658,21.43359375
381,381,0.0002996812129023472,0.00029967953348696816,0.10824539503526119,0.07526123523712158,0.13333247344763505,0.23569121956825256,0.0001900598144857213,0.006598381325602531,0.0007340986048802733,0.23569121956825256,8.708181755617261,0.031043988652527332,0.006781223230063915,20.675171375274658,21.43359375,1524,1524,32004,10668,42672,381,20.675171375274658,21.43359375
382,382,0.00029967953348696816,0.00029967784966439856,0.09291106276214123,0.03942454652860761,0.1060525782716771,0.14949123561382294,6.165994273032993e-05,0.0018343145493417978,0.00012910563964396715,0.14949123561382294,10.939555699005723,0.0354832848533988,0.006253465078771114,20.675171375274658,21.43359375,1528,1528,32088,10696,42784,382,20.675171375274658,21.43359375
383,383,0.00029967784966439856,0.0002996761614346896,0.10650528120320467,0.0765910129994154,0.13203561886967646,0.1624661535024643,0.00014125651796348393,0.004868015181273222,0.0001652319624554366,0.1624661535024643,10.500311446376145,0.030239089392125607,0.0063102878630161285,20.675171375274658,21.43359375,1532,1532,32172,10724,42896,383,20.675171375274658,21.43359375
384,384,0.0002996761614346896,0.00029967446879789275,0.09148381428704375,0.04878738662227988,0.10774627649447038,0.1167924776673317,0.0002029009338002652,0.007107171695679426,0.00018293714674655348,0.1167924702167511,16.630453979596496,0.03526308201253414,0.006228080950677395,20.675171375274658,21.43359375,1536,1536,32256,10752,43008,384,20.675171375274658,21.43359375
385,385,0.00029967446879789275,0.00029967277175405954,0.09926812705539521,0.07848768448457122,0.12543068855025227,0.21360202133655548,0.00011943679419346154,0.003626521909609437,0.00014399262727238238,0.2136020064353943,8.11444834433496,0.034119099378585815,0.006359121762216091,20.675171375274658,21.43359375,1540,1540,32340,10780,43120,385,20.675171375274658,21.43359375
386,386,0.00029967277175405954,0.0002996710703032417,0.11296728891985756,0.07528417184948921,0.1380620128696873,0.2635054588317871,0.0003837560652755201,0.006557525601238012,0.00023315260477829725,0.2635054588317871,8.498707133345306,0.03087495733052492,0.006239026784896851,20.675171375274658,21.43359375,1544,1544,32424,10808,43232,386,20.675171375274658,21.43359375
387,387,0.0002996710703032417,0.0002996693644454911,0.11176351440094766,0.06370405200868845,0.1329981984038438,0.2243552953004837,0.0003768823225982487,0.01246500015258789,0.00029261779855005443,0.2243552953004837,13.079358438961208,0.030397459864616394,0.0062406836077570915,20.675171375274658,21.43359375,1548,1548,32508,10836,43344,387,20.675171375274658,21.43359375
388,388,0.0002996693644454911,0.00029966765418085965,0.0965053467523484,0.06494431663304567,0.11815345229669695,0.16898050904273987,0.0007177732768468559,0.017066678032279015,0.0006803660071454942,0.16898050904273987,11.36593935918063,0.030190609395503998,0.006182483397424221,20.675171375274658,21.43359375,1552,1552,32592,10864,43456,388,20.675171375274658,21.43359375
389,389,0.00029966765418085965,0.0002996659395093995,0.08728949840934504,0.040279777720570564,0.10071609098286856,0.1406359225511551,0.00010895005107158795,0.003682821523398161,9.606518869986758e-05,0.14063593745231628,12.845612103119493,0.03169031720608473,0.006294038146734238,20.675171375274658,21.43359375,1556,1556,32676,10892,43568,389,20.675171375274658,21.43359375
390,390,0.0002996659395093995,0.00029966422043116274,0.12150053733161517,0.07229552790522575,0.1455990466333571,0.3115335702896118,0.00012573934509418905,0.003436924424022436,4.709959830506705e-05,0.3115336000919342,7.1595863830298185,0.030409634113311768,0.006204667501151562,20.675171375274658,21.43359375,1560,1560,32760,10920,43680,390,20.675171375274658,21.43359375
391,391,0.00029966422043116274,0.00029966249694620187,0.12656753771894036,0.08558029215782881,0.15509430177154995,0.28694382309913635,0.00044287581113167107,0.010832897387444973,0.0007304944447241724,0.28694382309913635,7.979028620757163,0.03506715130060911,0.006297042593359947,20.675171375274658,21.43359375,1564,1564,32844,10948,43792,391,20.675171375274658,21.43359375
392,392,0.00029966249694620187,0.0002996607690545694,0.13362846035687698,0.06353283859789371,0.15480607322284154,0.193475142121315,8.689690002938733e-05,0.0022297168616205454,0.00013432258856482804,0.193475142121315,7.762390141375363,0.030769575387239456,0.006365836597979069,20.675171375274658,21.43359375,1568,1568,32928,10976,43904,392,20.675171375274658,21.43359375
393,393,0.0002996607690545694,0.00029965903675631785,0.09519800756658826,0.03647898184135556,0.10735766818037344,0.14260052144527435,0.00012612281716428697,0.004046767950057983,0.0001452400319976732,0.14260052144527435,9.59484093170613,0.030904403887689114,0.006258873268961906,20.675171375274658,21.43359375,1572,1572,33012,11004,44016,393,20.675171375274658,21.43359375
394,394,0.00029965903675631785,0.0002996573000515001,0.09804504311510495,0.04273657500743866,0.11229056811758449,0.11892416328191757,6.427478365367278e-05,0.0018027392216026783,0.0001427779789082706,0.11892416328191757,10.094402821734548,0.03320647217333317,0.006384085863828659,20.675171375274658,21.43359375,1576,1576,33096,11032,44128,394,20.675171375274658,21.43359375
395,395,0.0002996573000515001,0.000299655558940169,0.11519675236195326,0.05405804235488176,0.1332160998135805,0.257720023393631,0.00018338444351684302,0.0031524733640253544,9.85420192591846e-05,0.257720023393631,7.3839121628552675,0.03502903785556555,0.006163658574223518,20.675171375274658,21.43359375,1580,1580,33180,11060,44240,395,20.675171375274658,21.43359375
396,396,0.000299655558940169,0.0002996538134223776,0.11159921455241384,0.05722893588244915,0.13067552651323022,0.32037436962127686,0.0008976557292044163,0.018798697739839554,0.000261646811850369,0.32037436962127686,7.299758178181946,0.03266049735248089,0.006290886551141739,20.675171375274658,21.43359375,1584,1584,33264,11088,44352,396,20.675171375274658,21.43359375
397,397,0.0002996538134223776,0.0002996520634981791,0.13767095495547566,0.0878155343234539,0.1669427997299603,0.24528563022613525,0.00032276930869556963,0.003686209674924612,9.978627349482849e-05,0.24528563022613525,8.048447892069817,0.03490352723747492,0.00634077750146389,20.675171375274658,21.43359375,1588,1588,33348,11116,44464,397,20.675171375274658,21.43359375
398,398,0.0002996520634981791,0.00029965030916762677,0.0994676056184939,0.05056681577116251,0.11632321087554806,0.19487737119197845,0.00027029478223994374,0.0069951023906469345,0.00012078240979462862,0.19487737119197845,10.322620212100446,0.034081362187862396,0.006363123655319214,20.675171375274658,21.43359375,1592,1592,33432,11144,44576,398,20.675171375274658,21.43359375
399,399,0.00029965030916762677,0.000299648550430774,0.11127235789206766,0.09842596389353275,0.14408101252324523,0.19841603934764862,0.00047704915050417185,0.007621674798429012,0.0008107676985673606,0.19841603934764862,8.541411319747567,0.04386442061513662,0.006294997408986092,20.675171375274658,21.43359375,1596,1596,33516,11172,44688,399,20.675171375274658,21.43359375
400,400,0.000299648550430774,0.0002996467872876745,0.10018063567224003,0.07141618337482214,0.12398603013051407,0.19707757234573364,0.00010625172581057996,0.0033608044032007456,0.00015084944607224315,0.19707757234573364,16.666217411868274,0.03359689749777317,0.006501900032162666,20.675171375274658,21.43359375,1600,1600,33600,11200,44800,400,20.675171375274658,21.43359375
401,401,0.0002996467872876745,0.00029964501973838185,0.12534042359108016,0.05919686798006296,0.14507271291776783,0.2649998366832733,0.00037834193790331483,0.013074025511741638,0.0007119365618564188,0.2649998366832733,8.35999269131571,0.03404928557574749,0.022243086248636246,20.674803733825684,21.4609375,1604,1604,33684,11228,44912,401,20.674803733825684,21.4609375
402,402,0.00029964501973838185,0.00029964324778294996,0.12063098051363513,0.08009769674390554,0.14733021276160363,0.24392026662826538,0.0002792620798572898,0.008072229102253914,0.0004928184789605439,0.24392026662826538,11.849032318219543,0.030950023792684078,0.006215672008693218,20.674803733825684,21.48828125,1608,1608,33768,11256,45024,402,20.674803733825684,21.48828125
403,403,0.00029964324778294996,0.0002996414714214328,0.09951249900318328,0.0662612896412611,0.1215995955502703,0.2225378155708313,0.0003983547503594309,0.00583212124183774,0.0001915583125082776,0.2225378155708313,7.194841052405536,0.030645676888525486,0.0060528963804244995,20.674803733825684,21.48828125,1612,1612,33852,11284,45136,403,20.674803733825684,21.48828125
404,404,0.0002996414714214328,0.00029963969065388443,0.08892760000058583,0.05127478018403053,0.10601919339526267,0.149887353181839,0.00015201950736809522,0.0028660341631621122,9.355471411254257e-05,0.149887353181839,9.949119788594544,0.03114318661391735,0.0060502467676997185,20.676517486572266,21.48828125,1616,1616,33936,11312,45248,404,20.676517486572266,21.48828125
405,405,0.00029963969065388443,0.00029963790548035915,0.09794465958007743,0.04297415819019079,0.1122693789768077,0.09265714138746262,4.2945248424075544e-05,0.0009990184335038066,4.6252753236331046e-05,0.09265714138746262,7.1998515501618385,0.03477344010025263,0.006080152466893196,20.676517486572266,21.48828125,1620,1620,34020,11340,45360,405,20.676517486572266,21.48828125
406,406,0.00029963790548035915,0.0002996361159009113,0.11241988846588702,0.07388835959136486,0.13704934166300864,0.22663819789886475,0.00023858789063524455,0.004179381299763918,0.00018743601685855538,0.22663821280002594,18.172152838669717,0.031217186711728573,0.006125647574663162,20.676517486572266,21.48828125,1624,1624,34104,11368,45472,406,20.676517486572266,21.48828125
407,407,0.0002996361159009113,0.00029963432191559543,0.09074861418810629,0.045677474699914455,0.10597443908807777,0.13670174777507782,0.0001794862182578072,0.0035619777627289295,0.00011703175550792366,0.13670174777507782,10.216671521775424,0.0317073967307806,0.006311005912721157,20.676517486572266,21.48828125,1628,1628,34188,11396,45584,407,20.676517486572266,21.48828125
408,408,0.00029963432191559543,0.0002996325235244662,0.10738281080765383,0.05280852736905217,0.12498565326400456,0.3142430782318115,0.00026356265880167484,0.00646475562825799,0.00013442702766042203,0.3142430782318115,10.064707586541772,0.031685895286500454,0.006428888067603111,20.676517486572266,21.48828125,1632,1632,34272,11424,45696,408,20.676517486572266,21.48828125
409,409,0.0002996325235244662,0.00029963072072757837,0.1208834806013675,0.08974523283541203,0.1507985582131715,0.16747350990772247,0.000304107234114781,0.007831781171262264,0.0005967359174974263,0.16747350990772247,9.388284548185766,0.032703072763979435,0.006066758185625076,20.676517486572266,21.48828125,1636,1636,34356,11452,45808,409,20.676517486572266,21.48828125
410,410,0.00029963072072757837,0.00029962891352498686,0.11363598828514415,0.04197455197572708,0.12762750561038652,0.19379091262817383,0.0005332501023076475,0.008933328092098236,0.0001924102834891528,0.19379091262817383,9.807372375391424,0.034879530780017376,0.006148316897451878,20.676517486572266,21.48828125,1640,1640,34440,11480,45920,410,20.676517486572266,21.48828125
411,411,0.00029962891352498686,0.00029962710191674664,0.10188877356371709,0.06057244632393122,0.1220795890050275,0.12447048723697662,0.00010915815073531121,0.0022467062808573246,9.101050818571821e-05,0.12447049468755722,11.251857346855104,0.03273192327469587,0.006730100139975548,20.676517486572266,21.48828125,1644,1644,34524,11508,46032,411,20.676517486572266,21.48828125
412,412,0.00029962710191674664,0.0002996252859029131,0.13191857525990122,0.05349409021437168,0.14974993866469177,0.22741958498954773,0.00019631690520327538,0.004385024309158325,6.685136759188026e-05,0.22741958498954773,7.1577715296298265,0.03044186532497406,0.006365582346916199,20.676517486572266,21.48828125,1648,1648,34608,11536,46144,412,20.676517486572266,21.48828125
413,413,0.0002996252859029131,0.00029962346548354136,0.11318680901257763,0.033977377228438854,0.12451260142205725,0.15636016428470612,0.0002089817717205733,0.018718358129262924,0.0005330931744538248,0.15636016428470612,7.840985310263932,0.03516582399606705,0.0062230248004198074,20.676517486572266,21.48828125,1652,1652,34692,11564,46256,413,20.676517486572266,21.48828125
414,414,0.00029962346548354136,0.00029962164065868693,0.102641698106059,0.06318705528974533,0.12370404986930744,0.14115692675113678,0.00012674255413003266,0.003532526083290577,7.61547707952559e-05,0.14115692675113678,8.422721282579005,0.03505938872694969,0.006538514979183674,20.676517486572266,21.48828125,1656,1656,34776,11592,46368,414,20.676517486572266,21.48828125
415,415,0.00029962164065868693,0.00029961981142840536,0.10840887292509986,0.0836426829919219,0.1362897672557405,0.16648565232753754,0.00036533441743813455,0.006166157778352499,0.00025013319100253284,0.16648565232753754,10.898742537014186,0.031768265180289745,0.00624737236648798,20.676517486572266,21.48828125,1660,1660,34860,11620,46480,415,20.676517486572266,21.48828125
416,416,0.00029961981142840536,0.0002996179777927525,0.08880387885229928,0.03381005651317537,0.1000738976900244,0.14831416308879852,7.55147120798938e-05,0.0014488589949905872,2.670145477168262e-05,0.14831416308879852,16.431010789237916,0.031717699021101,0.007075134664773941,20.678006172180176,21.48828125,1664,1664,34944,11648,46592,416,20.678006172180176,21.48828125
417,417,0.0002996179777927525,0.00029961613975178415,0.09508530715746538,0.04890752583742142,0.1113878157699392,0.12898382544517517,4.971551243215799e-05,0.0015205788658931851,5.935056833550334e-05,0.12898384034633636,7.211253491230309,0.030913768336176872,0.0062748827040195465,20.678006172180176,21.48828125,1668,1668,35028,11676,46704,417,20.678006172180176,21.48828125
