suite,task_id,condition_exposures,unique_updates,main_queries,teaching_queries,mean_flow_loss,mean_teaching_loss,mean_fm_lora_gradient_norm,mean_teaching_lora_gradient_norm,mean_condition_seconds,mean_writer_forward_seconds,mean_writer_vjp_seconds,mean_fm_vjp_seconds,mean_teaching_vjp_seconds,main_video_episode_overlap_conditions,teaching_video_episode_overlap_conditions
libero_goal,29,133,133,2793,931,0.15723415493773082,0.1185478843412453,0.016770107272480215,0.014959235010402543,8.043235579435539,1.2947195184634144,4.104015126439245,1.6191605070773931,0.6191494063985415,0,0
libero_object,12,133,133,2793,931,0.09299348787038804,0.057890071386569424,0.008788600287407189,0.006777861097799544,6.7736152022782905,1.014105906450939,3.2137128938255564,1.617735807195698,0.6009702887806229,0,0
libero_object,13,134,134,2814,938,0.09484174594749095,0.0559434283580353,0.00959229924535351,0.006981825994661272,7.185113661992016,1.1004845694110577,3.4854686690716825,1.620491675657234,0.6061037480136129,0,0
libero_object,14,134,134,2814,938,0.09046100134158395,0.05905505781298253,0.008262777985977148,0.0066510713085838,7.584513016608057,1.188249562178919,3.762097126908545,1.6207854355643712,0.6123719079239266,0,0
libero_object,15,133,133,2793,931,0.10937630132006096,0.07936312863253113,0.010790981208779533,0.008162347267248802,7.2610345628476685,1.11535333876351,3.5263140524660512,1.6201470413742434,0.6102215226641611,0,0
libero_object,17,133,133,2793,931,0.10108041140156496,0.06129068676102206,0.009158953376590534,0.00720554799772799,7.145614252250669,1.093347709948071,3.4593021701951336,1.619424135228129,0.6092314536200094,0,0
libero_object,19,133,133,2793,931,0.08712995726704555,0.05466067125754697,0.008563800406803313,0.006604907649072041,6.995992136643009,1.0621537666949898,3.3486161278840854,1.6193656731691015,0.6103540400561309,0,0
libero_spatial,0,133,133,2793,931,0.18378348031801175,0.09917800386149184,0.015472443364700652,0.010241685310882846,5.859339771855314,0.798609257241557,2.540271143043848,1.6183712782436295,0.5951575886080027,0,0
libero_spatial,1,133,133,2793,931,0.13854572944932625,0.07686147945267814,0.011595963671999542,0.0078286885343408,6.818216890873933,1.0127532391115688,3.223631554808384,1.6193564222439338,0.6051528588833666,0,0
libero_spatial,2,133,133,2793,931,0.1067742946695415,0.060093371008515806,0.009904314620294292,0.0063740093772180545,6.3088532605705625,0.903705716994416,2.864960816051615,1.617960915921774,0.6005130412505197,0,0
libero_spatial,4,134,134,2814,938,0.13409794222592628,0.08065239100981114,0.011380788091736944,0.0078078331721168175,7.292064796500742,1.1228810598059042,3.5658146251521226,1.6193588484606858,0.6070285177817429,0,0
libero_spatial,5,133,133,2793,931,0.1591355637745579,0.09040429008970584,0.014001482705536642,0.009635887129750467,6.297134286899092,0.8960754741123296,2.8619218462573968,1.617830233018201,0.6004906715054933,0,0
libero_spatial,7,134,134,2814,938,0.1191922311764409,0.07176931814026477,0.009909171551994202,0.006931443962810644,7.052447103874396,1.0725335065178128,3.391412976587108,1.6202442087163564,0.6091351278835156,0,0
