branch,d1_asset,global_task_id,init_state_id,path_arm,steps,success,suite,task_id
,C600,25,1,WW,300,False,libero_goal,5
,C600,34,0,WW,520,False,libero_10,4
,C600,34,1,WW,261,True,libero_10,4
,C600,37,0,WW,520,False,libero_10,7
,C600,37,1,WW,520,False,libero_10,7
,O1200,5,0,CC,220,False,libero_spatial,5
,O1200,5,1,CC,143,True,libero_spatial,5
,O1200,7,0,CC,120,True,libero_spatial,7
,O1200,7,1,CC,120,True,libero_spatial,7
,O1200,12,0,CC,202,True,libero_object,2
,O1200,12,1,CC,280,False,libero_object,2
,O1200,14,0,CC,137,True,libero_object,4
,O1200,14,1,CC,126,True,libero_object,4
,O1200,20,0,CC,101,True,libero_goal,0
,O1200,20,1,CC,116,True,libero_goal,0
,O1200,25,0,CC,300,False,libero_goal,5
,O1200,25,1,CC,300,False,libero_goal,5
,O1200,34,0,CC,520,False,libero_10,4
,O1200,34,1,CC,254,True,libero_10,4
,O1200,37,0,CC,272,True,libero_10,7
,O1200,37,1,CC,520,False,libero_10,7
,O1200,5,0,WW,171,True,libero_spatial,5
,O1200,5,1,WW,220,False,libero_spatial,5
,O1200,7,0,WW,127,True,libero_spatial,7
,O1200,7,1,WW,156,True,libero_spatial,7
,O1200,12,0,WW,219,True,libero_object,2
,O1200,12,1,WW,280,False,libero_object,2
,O1200,14,0,WW,137,True,libero_object,4
,O1200,14,1,WW,127,True,libero_object,4
,O1200,20,0,WW,225,True,libero_goal,0
,O1200,20,1,WW,109,True,libero_goal,0
,O1200,25,0,WW,300,False,libero_goal,5
,O1200,25,1,WW,300,False,libero_goal,5
,O1200,34,0,WW,520,False,libero_10,4
,O1200,34,1,WW,244,True,libero_10,4
,O1200,37,0,WW,271,True,libero_10,7
,O1200,37,1,WW,520,False,libero_10,7
J,,5,0,,220,False,libero_spatial,5
J,,5,1,,220,False,libero_spatial,5
J,,7,0,,220,False,libero_spatial,7
J,,7,1,,145,True,libero_spatial,7
J,,12,0,,280,False,libero_object,2
J,,12,1,,280,False,libero_object,2
J,,14,0,,241,True,libero_object,4
J,,14,1,,211,True,libero_object,4
J,,20,0,,91,True,libero_goal,0
J,,20,1,,102,True,libero_goal,0
J,,25,0,,300,False,libero_goal,5
J,,25,1,,300,False,libero_goal,5
J,,34,0,,520,False,libero_10,4
J,,34,1,,407,True,libero_10,4
J,,37,0,,520,False,libero_10,7
J,,37,1,,520,False,libero_10,7
M,,5,0,,220,False,libero_spatial,5
M,,5,1,,220,False,libero_spatial,5
M,,7,0,,220,False,libero_spatial,7
M,,7,1,,148,True,libero_spatial,7
M,,12,0,,209,True,libero_object,2
M,,12,1,,280,False,libero_object,2
M,,14,0,,238,True,libero_object,4
M,,14,1,,204,True,libero_object,4
M,,20,0,,92,True,libero_goal,0
M,,20,1,,300,False,libero_goal,0
M,,25,0,,300,False,libero_goal,5
M,,25,1,,300,False,libero_goal,5
M,,34,0,,520,False,libero_10,4
M,,34,1,,520,False,libero_10,4
M,,37,0,,520,False,libero_10,7
M,,37,1,,520,False,libero_10,7
Q,,5,0,,220,False,libero_spatial,5
Q,,5,1,,220,False,libero_spatial,5
Q,,7,0,,220,False,libero_spatial,7
Q,,7,1,,177,True,libero_spatial,7
Q,,12,0,,117,True,libero_object,2
Q,,12,1,,280,False,libero_object,2
Q,,14,0,,280,False,libero_object,4
Q,,14,1,,196,True,libero_object,4
Q,,20,0,,211,True,libero_goal,0
Q,,20,1,,300,False,libero_goal,0
Q,,25,0,,300,False,libero_goal,5
Q,,25,1,,300,False,libero_goal,5
Q,,34,0,,520,False,libero_10,4
Q,,34,1,,257,True,libero_10,4
Q,,37,0,,520,False,libero_10,7
Q,,37,1,,520,False,libero_10,7
